EnGene Holdings PE Ratio Historical Data,EnGene Holdings PE Ratio Historical Data,EnGene Holdings PE Ratio Historical Data,EnGene Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.21,,0.0
2025-01-31,6.7,$-1.04,0.0
2024-10-31,8.85,$-0.58,0.0
2024-07-31,9.5,$-0.24,0.0
2024-04-30,15.9,$0.08,198.75
2024-01-31,7.84,$0.46,17.04
2023-10-31,21.7,0,0.0
2023-09-30,10.96,0,0.0
2023-07-31,10.79,0,0.0
2023-06-30,10.73,0,0.0
2023-04-30,10.53,0,0.0
2023-03-31,10.54,0,0.0
2023-01-31,10.39,0,0.0
2022-12-31,10.33,0,0.0
2022-10-31,10.15,0,0.0
2022-09-30,10.1,0,0.0
2022-07-31,10.01,0,0.0
