Genesco PE Ratio Historical Data,Genesco PE Ratio Historical Data,Genesco PE Ratio Historical Data,Genesco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.04,,0.0
2025-01-31,41.65,$-1.77,0.0
2024-10-31,25.62,$-2.43,0.0
2024-07-31,30.83,$-0.07,0.0
2024-04-30,25.31,$-1.95,0.0
2024-01-31,27.78,$-1.32,0.0
2023-10-31,27.41,$-0.58,0.0
2023-07-31,28.21,$0.47,60.02
2023-04-30,34.66,$3.85,9.0
2023-01-31,48.29,$5.82,8.3
2022-10-31,47.04,$7.02,6.7
2022-07-31,56.05,$7.62,7.36
2022-04-30,62.03,$7.78,7.97
2022-01-31,64.33,$8.01,8.03
2021-10-31,60.59,$9.80,6.18
2021-07-31,57.45,$8.07,7.12
2021-04-30,50.0,$5.98,8.36
2021-01-31,38.81,$-4.17,0.0
2020-10-31,17.72,$-7.88,0.0
2020-07-31,15.55,$-7.10,0.0
2020-04-30,18.93,$-5.72,0.0
2020-01-31,39.32,$4.19,9.38
2019-10-31,38.85,$-1.59,0.0
2019-07-31,39.38,$-2.16,0.0
2019-04-30,44.81,$-2.20,0.0
2019-01-31,45.18,$-2.68,0.0
2018-10-31,42.79,$3.51,12.19
2018-07-31,40.7,$-5.78,0.0
2018-04-30,42.75,$-5.99,0.0
2018-01-31,34.85,$-5.82,0.0
2017-10-31,24.5,$-6.33,0.0
2017-07-31,32.1,$3.53,9.09
2017-04-30,53.3,$4.46,11.95
2017-01-31,60.2,$4.91,12.26
2016-10-31,53.8,$4.66,11.55
2016-07-31,69.42,$4.78,14.52
2016-04-30,69.18,$4.38,15.79
2016-01-31,66.14,$4.30,15.38
2015-10-31,62.65,$4.28,14.64
2015-07-31,64.69,$4.07,15.89
2015-04-30,67.59,$3.95,17.11
2015-01-31,71.45,$4.12,17.34
2014-10-31,76.69,$3.79,20.23
2014-07-31,76.27,$3.76,20.28
2014-04-30,76.37,$4.07,18.76
2014-01-31,70.22,$4.25,16.52
2013-10-31,68.11,$4.08,16.69
2013-07-31,70.38,$4.60,15.3
2013-04-30,61.55,$4.52,13.62
2013-01-31,62.33,$4.60,13.55
2012-10-31,57.3,$4.70,12.19
2012-07-31,66.22,$4.09,16.19
2012-04-30,75.0,$3.64,20.6
2012-01-31,61.07,$3.42,17.86
2011-10-31,58.94,$3.01,19.58
2011-07-31,51.8,$2.64,19.62
2011-04-30,40.38,$2.52,16.02
2011-01-31,37.13,$2.25,16.5
2010-10-31,32.76,$2.02,16.22
2010-07-31,27.29,$1.80,15.16
2010-04-30,33.29,$1.81,18.39
2010-01-31,23.58,$1.14,20.68
2009-10-31,26.07,$1.11,23.49
