Digital Realty Trust PE Ratio Historical Data,Digital Realty Trust PE Ratio Historical Data,Digital Realty Trust PE Ratio Historical Data,Digital Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,151.41,,93.46
2024-12-31,177.33,$1.62,109.46
2024-09-30,160.77,$1.19,135.1
2024-06-30,149.9,$3.43,43.7
2024-03-31,140.86,$3.60,39.13
2023-12-31,130.49,$2.97,43.94
2023-09-30,116.28,$2.87,40.52
2023-06-30,108.38,$1.29,84.02
2023-03-31,92.5,$1.11,83.33
2022-12-31,93.27,$1.14,81.81
2022-09-30,91.19,$4.87,18.73
2022-06-30,118.13,$4.56,25.91
2022-03-31,127.77,$4.82,26.51
2021-12-31,157.92,$5.92,26.68
2021-09-30,128.08,$2.37,54.04
2021-06-30,132.42,$1.79,73.98
2021-03-31,123.07,$1.54,79.92
2020-12-31,120.86,$1.12,107.91
2020-09-30,126.04,$2.46,51.24
2020-06-30,121.11,$2.84,42.64
2020-03-31,117.41,$2.79,42.08
2019-12-31,100.34,$2.35,42.7
2019-09-30,107.76,$1.00,107.76
2019-06-30,96.95,$1.09,88.95
2019-03-31,97.07,$1.26,77.04
2018-12-31,86.11,$1.22,70.58
2018-09-30,90.11,$1.33,67.75
2018-06-30,88.66,$0.98,90.47
2018-03-31,82.95,$1.02,81.32
2017-12-31,88.8,$1.01,87.92
2017-09-30,91.52,$1.24,73.8
2017-06-30,86.69,$2.51,34.54
2017-03-31,81.0,$2.34,34.62
2016-12-31,74.14,$2.20,33.7
2016-09-30,72.62,$1.43,50.78
2016-06-30,80.73,$0.46,175.51
2016-03-31,64.98,$1.13,57.5
2015-12-31,54.96,$1.61,34.14
2015-09-30,46.91,$1.50,31.27
2015-06-30,47.23,$2.02,23.38
2015-03-31,46.12,$1.47,31.38
2014-12-31,45.76,$0.98,46.69
2014-09-30,42.52,$1.70,25.01
2014-06-30,39.26,$1.96,20.03
2014-03-31,35.22,$2.02,17.44
2013-12-31,32.09,$2.10,15.28
2013-09-30,34.1,$2.13,16.01
2013-06-30,38.62,$1.44,26.82
2013-03-31,41.81,$1.45,28.83
2012-12-31,41.94,$1.47,28.53
2012-09-30,42.68,$1.45,29.44
2012-06-30,45.41,$1.39,32.67
2012-03-31,44.3,$1.34,33.06
2011-12-31,39.53,$1.32,29.95
2011-09-30,32.36,$1.25,25.89
2011-06-30,35.81,$1.05,34.11
2011-03-31,33.33,$0.83,40.16
2010-12-31,29.2,$0.67,43.58
2010-09-30,34.61,$0.58,59.66
2010-06-30,32.08,$0.63,50.92
2010-03-31,29.91,$0.65,46.02
2009-12-31,27.51,$0.61,45.1
