Century Communities PE Ratio Historical Data,Century Communities PE Ratio Historical Data,Century Communities PE Ratio Historical Data,Century Communities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,70.31,,6.76
2024-12-31,73.36,$10.40,7.05
2024-09-30,102.69,$10.03,10.24
2024-06-30,81.22,$10.02,8.11
2024-03-31,95.97,$9.01,10.65
2023-12-31,90.37,$8.05,11.23
2023-09-30,66.0,$7.69,8.58
2023-06-30,75.49,$9.55,7.9
2023-03-31,62.75,$12.73,4.93
2022-12-31,48.91,$15.89,3.08
2022-09-30,41.66,$18.20,2.29
2022-06-30,43.61,$17.07,2.55
2022-03-31,51.75,$15.76,3.28
2021-12-31,78.77,$14.56,5.41
2021-09-30,59.06,$12.50,4.72
2021-06-30,63.81,$10.67,5.98
2021-03-31,57.74,$8.35,6.92
2020-12-31,41.91,$6.13,6.84
2020-09-30,40.52,$5.04,8.04
2020-06-30,29.35,$4.43,6.63
2020-03-31,13.89,$3.79,3.66
2019-12-31,26.18,$3.57,7.33
2019-09-30,29.32,$2.79,10.51
2019-06-30,25.44,$2.48,10.26
2019-03-31,22.95,$3.07,7.47
2018-12-31,16.52,$3.18,5.2
2018-09-30,25.13,$2.93,8.58
2018-06-30,30.2,$2.74,11.02
2018-03-31,28.67,$2.30,12.47
2017-12-31,29.77,$2.03,14.67
2017-09-30,23.64,$2.14,11.05
2017-06-30,23.74,$2.40,9.89
2017-03-31,24.32,$2.36,10.3
2016-12-31,20.1,$2.34,8.59
2016-09-30,20.59,$2.25,9.15
2016-06-30,16.6,$2.12,7.83
2016-03-31,16.34,$1.96,8.34
2015-12-31,16.95,$1.88,9.02
2015-09-30,19.0,$1.60,11.88
2015-06-30,19.27,$1.29,14.94
2015-03-31,18.5,$1.13,16.38
