Duluth Holdings PE Ratio Historical Data,Duluth Holdings PE Ratio Historical Data,Duluth Holdings PE Ratio Historical Data,Duluth Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.11,,0.0
2024-10-31,3.7,$-0.99,0.0
2024-07-31,3.64,$-0.46,0.0
2024-04-30,4.21,$-0.41,0.0
2024-01-31,4.88,$-0.29,0.0
2023-10-31,5.03,$-0.27,0.0
2023-07-31,7.26,$-0.14,0.0
2023-04-30,6.26,$-0.01,0.0
2023-01-31,6.65,$0.07,95.0
2022-10-31,8.7,$0.37,23.51
2022-07-31,9.64,$0.65,14.83
2022-04-30,12.25,$0.85,14.41
2022-01-31,15.08,$0.91,16.57
2021-10-31,14.33,$1.05,13.65
2021-07-31,14.97,$0.99,15.12
2021-04-30,15.47,$0.90,17.19
2021-01-31,12.47,$0.41,30.41
2020-10-31,15.34,$0.49,31.31
2020-07-31,7.39,$0.47,15.72
2020-04-30,4.01,$0.35,11.46
2020-01-31,8.45,$0.59,14.32
2019-10-31,9.24,$0.48,19.25
2019-07-31,12.15,$0.37,32.84
2019-04-30,15.92,$0.51,31.22
2019-01-31,23.88,$0.72,33.17
2018-10-31,30.73,$0.68,45.19
2018-07-31,23.02,$0.75,30.69
2018-04-30,17.35,$0.68,25.51
2018-01-31,17.61,$0.71,24.8
2017-10-31,20.66,$0.54,38.26
2017-07-31,19.38,$0.58,33.41
2017-04-30,22.15,$0.56,39.55
2017-01-31,22.62,$0.65,34.8
2016-10-31,27.15,$0.59,46.02
