Liberty Global PE Ratio Historical Data,Liberty Global PE Ratio Historical Data,Liberty Global PE Ratio Historical Data,Liberty Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.41,,2.96
2024-12-31,13.14,$4.19,3.14
2024-09-30,11.55,$-10.15,0.0
2024-06-30,9.54,$-4.63,0.0
2024-03-31,9.43,$-6.47,0.0
2023-12-31,9.96,$-9.38,0.0
2023-09-30,9.92,$-1.15,0.0
2023-06-30,9.5,$2.15,4.42
2023-03-31,10.89,$8.75,1.24
2022-12-31,10.38,$12.29,0.84
2022-09-30,8.82,$13.44,0.66
2022-06-30,11.81,$9.06,1.3
2022-03-31,13.85,$23.14,0.6
2021-12-31,15.01,$23.56,0.64
2021-09-30,15.74,$20.69,0.76
2021-06-30,14.45,$18.47,0.78
2021-03-31,13.65,$-1.94,0.0
2020-12-31,12.64,$-2.81,0.0
2020-09-30,10.97,$-3.28,0.0
2020-06-30,11.5,$16.36,0.7
2020-03-31,8.4,$17.29,0.49
2019-12-31,11.65,$15.80,0.74
2019-09-30,12.71,$18.02,0.71
2019-06-30,14.18,$1.34,10.58
2019-03-31,12.94,$2.42,5.35
2018-12-31,11.03,$0.94,11.74
2018-09-30,15.05,$0.23,65.43
2018-06-30,14.22,$-1.55,0.0
2018-03-31,16.26,$-3.45,0.0
2017-12-31,18.09,$-2.31,0.0
2017-09-30,17.48,$0.82,21.31
2017-06-30,16.66,$1.19,14.0
2017-03-31,18.73,$2.17,8.63
2016-12-31,15.87,$2.10,7.56
2016-09-30,17.66,$-0.67,0.0
2016-06-30,15.31,$-0.37,0.0
2016-03-31,20.07,$-1.13,0.0
2015-12-31,21.79,$-1.34,0.0
2015-09-30,21.92,$-1.64,0.0
2015-06-30,27.06,$-1.56,0.0
2015-03-31,26.62,$-1.35,0.0
2014-12-31,25.82,$-0.84,0.0
2014-09-30,21.92,$-0.38,0.0
2014-06-30,22.61,$-1.62,0.0
2014-03-31,21.76,$-1.32,0.0
2013-12-31,22.53,$-1.22,0.0
2013-09-30,20.16,$-1.70,0.0
2013-06-30,18.14,$-0.70,0.0
2013-03-31,18.34,$0.63,29.34
2012-12-31,15.7,$0.58,27.07
2012-09-30,15.1,$0.43,35.53
2012-06-30,12.76,$-0.13,0.0
2012-03-31,12.8,$-2.11,0.0
2011-12-31,10.56,$-1.46,0.0
2011-09-30,9.25,$-0.56,0.0
2011-06-30,11.41,$0.03,326.01
2011-03-31,10.69,$-0.61,0.0
2010-12-31,9.06,$-1.22,0.0
2010-09-30,8.17,$-1.33,0.0
2010-06-30,6.95,$-1.33,0.0
2010-03-31,7.72,0,0.0
2009-12-31,5.84,0,0.0
