Janus Henderson Sustainable & Impact Core Bond ETF PE Ratio Historical Data,Janus Henderson Sustainable & Impact Core Bond ETF PE Ratio Historical Data,Janus Henderson Sustainable & Impact Core Bond ETF PE Ratio Historical Data,Janus Henderson Sustainable & Impact Core Bond ETF PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.74,,0.0
2024-12-31,41.64,$-2.13,0.0
2024-09-30,46.11,$-1.95,0.0
2024-06-30,50.02,$-1.99,0.0
2024-03-31,66.73,$5.68,11.75
2023-12-31,79.08,$5.69,13.9
2023-09-30,66.55,$6.30,10.56
2023-06-30,93.47,$7.39,12.65
2023-03-31,83.52,$7.06,11.83
2022-12-31,64.71,$6.16,10.5
2022-09-30,69.8,$5.47,12.76
2022-06-30,52.56,$5.10,10.31
2022-03-31,87.03,$5.81,14.98
2021-12-31,81.06,$7.02,11.55
2021-09-30,89.72,$7.38,12.16
2021-06-30,102.29,$7.22,14.17
2021-03-31,100.37,$6.85,14.65
2020-12-31,84.53,$5.77,14.65
2020-09-30,71.93,$3.89,18.49
2020-06-30,66.87,$3.11,21.5
2020-03-31,31.63,$2.19,14.44
2019-12-31,70.03,$2.65,26.43
2019-09-30,81.36,$3.63,22.41
2019-06-30,72.34,$3.37,21.47
2019-03-31,71.69,$4.47,16.04
2018-12-31,68.31,$5.13,13.32
2018-09-30,73.43,$4.23,17.36
2018-06-30,74.23,$4.64,16.0
2018-03-31,74.05,$4.26,17.38
2017-12-31,84.78,$3.70,22.91
2017-09-30,87.73,$4.40,19.94
2017-06-30,84.44,$4.36,19.37
2017-03-31,86.87,$4.05,21.45
2016-12-31,94.94,$3.83,24.79
2016-09-30,81.28,$3.64,22.33
2016-06-30,72.57,$3.30,21.99
2016-03-31,53.73,$3.10,17.33
2015-12-31,64.26,$2.86,22.47
2015-09-30,64.29,$2.85,22.56
2015-06-30,73.29,$2.62,27.97
2015-03-31,79.47,$2.52,31.53
2014-12-31,66.11,$2.29,28.87
2014-09-30,56.22,$2.12,26.52
2014-06-30,49.18,$2.23,22.05
2014-03-31,48.26,$1.49,32.39
2013-12-31,40.96,$1.41,29.05
2013-09-30,32.75,$1.14,28.73
2013-06-30,32.17,$0.90,35.75
2013-03-31,28.32,$1.29,21.96
2012-12-31,23.42,$1.48,15.82
2012-09-30,23.02,$1.28,17.98
2012-06-30,22.83,$1.50,15.22
2012-03-31,19.63,$1.62,12.12
2011-12-31,17.11,$1.27,13.48
2011-09-30,16.31,$1.61,10.13
2011-06-30,18.65,$1.19,15.68
2011-03-31,18.57,$1.25,14.86
2010-12-31,17.3,$1.44,12.02
2010-09-30,17.56,$1.26,13.93
2010-06-30,15.93,$1.89,8.43
2010-03-31,19.28,$1.79,10.77
2009-12-31,16.11,$1.99,8.09
