Gen Digital PE Ratio Historical Data,Gen Digital PE Ratio Historical Data,Gen Digital PE Ratio Historical Data,Gen Digital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.56,,27.02
2024-12-31,27.38,$1.02,26.84
2024-09-30,27.31,$0.98,27.87
2024-06-30,24.75,$0.95,26.06
2024-03-31,22.09,$0.95,23.25
2023-12-31,22.37,$2.16,10.36
2023-09-30,17.23,$2.19,7.87
2023-06-30,17.96,$2.08,8.64
2023-03-31,16.49,$2.12,7.78
2022-12-31,20.47,$0.90,22.75
2022-09-30,19.14,$0.99,19.33
2022-06-30,20.75,$1.43,14.51
2022-03-31,24.94,$1.41,17.69
2021-12-31,24.32,$1.54,15.79
2021-09-30,23.57,$1.50,15.71
2021-06-30,25.23,$1.05,24.03
2021-03-31,19.62,$0.93,21.1
2020-12-31,19.06,$0.96,19.86
2020-09-30,18.99,$5.06,3.75
2020-06-30,17.97,$6.17,2.91
2020-03-31,16.85,$6.02,2.8
2019-12-31,13.44,$5.71,2.35
2019-09-30,12.38,$1.41,8.78
2019-06-30,11.37,$0.18,63.15
2019-03-31,11.96,$0.04,299.07
2018-12-31,9.8,$-0.07,0.0
2018-09-30,11.0,$1.84,5.98
2018-06-30,10.63,$1.83,5.81
2018-03-31,13.27,$1.71,7.76
2017-12-31,14.36,$1.54,9.32
2017-09-30,16.75,$-0.40,0.0
2017-06-30,14.38,$-0.61,0.0
2017-03-31,15.58,$-0.17,0.0
2016-12-31,12.1,$3.21,3.77
2016-09-30,12.67,$3.39,3.74
2016-06-30,10.34,$3.85,2.68
2016-03-31,9.21,$3.80,2.42
2015-12-31,8.42,$0.90,9.35
2015-09-30,7.74,$0.97,7.98
2015-06-30,9.18,$1.09,8.42
2015-03-31,9.17,$1.26,7.28
2014-12-31,10.01,$1.32,7.58
2014-09-30,9.12,$1.40,6.51
2014-06-30,8.82,$1.39,6.35
2014-03-31,7.64,$1.27,6.02
2013-12-31,8.96,$1.22,7.34
2013-09-30,9.34,$1.12,8.34
2013-06-30,8.44,$1.05,8.04
2013-03-31,9.2,$1.07,8.6
2012-12-31,7.02,$1.57,4.47
2012-09-30,6.7,$1.59,4.21
2012-06-30,5.45,$1.56,3.49
2012-03-31,6.97,$1.54,4.53
2011-12-31,5.83,$1.00,5.83
2011-09-30,6.08,$0.85,7.15
2011-06-30,7.35,$0.78,9.43
2011-03-31,6.91,$0.76,9.1
2010-12-31,6.24,$0.77,8.11
2010-09-30,5.64,$0.97,5.82
2010-06-30,5.17,$0.98,5.28
2010-03-31,6.31,$0.87,7.25
2009-12-31,6.67,$0.34,19.62
