Celularity PE Ratio Historical Data,Celularity PE Ratio Historical Data,Celularity PE Ratio Historical Data,Celularity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.73,,0.0
2024-09-30,2.97,$-2.06,0.0
2024-06-30,3.13,$-6.33,0.0
2024-03-31,5.23,$-8.73,0.0
2023-12-31,2.47,$-11.80,0.0
2023-09-30,2.22,$-11.80,0.0
2023-06-30,5.33,$-6.50,0.0
2023-03-31,6.2,$-0.60,0.0
2022-12-31,12.9,$-1.30,0.0
2022-09-30,23.1,$-1.60,0.0
2022-06-30,34.0,$2.10,16.19
2022-03-31,87.1,$-28.00,0.0
2021-12-31,51.2,$-23.20,0.0
2021-09-30,70.8,$-22.90,0.0
2021-06-30,101.8,$-26.90,0.0
2021-03-31,100.8,0,0.0
2020-12-31,110.0,0,0.0
2020-09-30,105.0,0,0.0
2020-06-30,102.0,0,0.0
