Leggett & Platt PE Ratio Historical Data,Leggett & Platt PE Ratio Historical Data,Leggett & Platt PE Ratio Historical Data,Leggett & Platt PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.3,,0.0
2024-12-31,9.6,$-3.73,0.0
2024-09-30,13.56,$-6.01,0.0
2024-06-30,11.36,$-5.95,0.0
2024-03-31,18.91,$-1.16,0.0
2023-12-31,25.21,$-1.00,0.0
2023-09-30,24.07,$1.57,15.33
2023-06-30,27.58,$1.70,16.23
2023-03-31,29.25,$2.00,14.63
2022-12-31,29.16,$2.27,12.85
2022-09-30,29.66,$2.65,11.19
2022-06-30,30.51,$2.84,10.74
2022-03-31,30.32,$2.96,10.24
2021-12-31,35.44,$2.94,12.06
2021-09-30,38.22,$2.93,13.04
2021-06-30,43.77,$2.99,14.64
2021-03-31,38.26,$2.12,18.04
2020-12-31,36.82,$1.82,20.23
2020-09-30,33.89,$1.70,19.93
2020-06-30,28.67,$1.67,17.17
2020-03-31,21.5,$2.36,9.11
2019-12-31,40.42,$2.47,16.37
2019-09-30,32.31,$2.22,14.55
2019-06-30,30.0,$2.15,13.95
2019-03-31,32.66,$2.14,15.26
2018-12-31,27.48,$2.26,12.16
2018-09-30,33.23,$2.14,15.53
2018-06-30,33.6,$2.07,16.23
2018-03-31,33.1,$2.08,15.92
2017-12-31,35.35,$2.13,16.6
2017-09-30,35.08,$2.45,14.32
2017-06-30,38.3,$2.52,15.2
2017-03-31,36.44,$2.75,13.25
2016-12-31,35.15,$2.76,12.74
2016-09-30,32.56,$2.74,11.88
2016-06-30,36.26,$2.74,13.23
2016-03-31,34.1,$2.41,14.15
2015-12-31,29.4,$2.28,12.9
2015-09-30,28.65,$1.85,15.49
2015-06-30,33.57,$1.52,22.09
2015-03-31,31.59,$0.81,38.99
2014-12-31,29.0,$0.68,42.64
2014-09-30,23.59,$0.58,40.67
2014-06-30,22.95,$0.73,31.44
2014-03-31,21.66,$1.38,15.7
2013-12-31,20.34,$1.34,15.18
2013-09-30,19.62,$1.80,10.9
2013-06-30,20.04,$1.76,11.38
2013-03-31,21.57,$1.73,12.47
2012-12-31,17.23,$1.70,10.13
2012-09-30,15.69,$1.26,12.45
2012-06-30,13.08,$1.12,11.67
2012-03-31,14.04,$1.04,13.5
2011-12-31,13.89,$1.04,13.36
2011-09-30,11.78,$1.19,9.9
2011-06-30,14.32,$1.19,12.04
2011-03-31,14.23,$1.16,12.27
2010-12-31,13.07,$1.15,11.36
2010-09-30,12.91,$1.17,11.03
2010-06-30,11.24,$1.20,9.36
2010-03-31,11.98,$0.98,12.23
2009-12-31,11.16,$0.75,14.88
