Amkor Technology PE Ratio Historical Data,Amkor Technology PE Ratio Historical Data,Amkor Technology PE Ratio Historical Data,Amkor Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.42,,13.58
2024-12-31,25.69,$1.43,17.97
2024-09-30,30.05,$1.48,20.3
2024-06-30,39.19,$1.53,25.62
2024-03-31,31.5,$1.52,20.72
2023-12-31,32.43,$1.46,22.21
2023-09-30,21.97,$1.65,13.31
2023-06-30,28.84,$2.35,12.27
2023-03-31,25.15,$2.60,9.67
2022-12-31,23.11,$3.11,7.43
2022-09-30,16.38,$3.32,4.94
2022-06-30,16.25,$2.82,5.76
2022-03-31,20.77,$2.82,7.36
2021-12-31,23.65,$2.62,9.03
2021-09-30,23.75,$2.26,10.51
2021-06-30,22.5,$1.90,11.84
2021-03-31,22.5,$1.62,13.89
2020-12-31,14.29,$1.39,10.28
2020-09-30,10.58,$1.28,8.27
2020-06-30,11.63,$1.13,10.29
2020-03-31,7.36,$0.86,8.56
2019-12-31,12.28,$0.50,24.57
2019-09-30,8.6,$0.21,40.94
2019-06-30,7.05,$0.22,32.04
2019-03-31,8.07,$0.40,20.17
2018-12-31,6.2,$0.54,11.48
2018-09-30,6.98,$0.84,8.31
2018-06-30,8.12,$0.83,9.78
2018-03-31,9.57,$1.17,8.18
2017-12-31,9.5,$1.09,8.71
2017-09-30,9.97,$1.09,9.15
2017-06-30,9.23,$1.11,8.32
2017-03-31,10.95,$0.65,16.85
2016-12-31,9.97,$0.69,14.45
2016-09-30,9.18,$0.23,39.93
2016-06-30,5.43,$0.10,54.33
2016-03-31,5.57,$0.12,46.38
2015-12-31,5.74,$0.24,23.94
2015-09-30,4.23,$0.34,12.45
2015-06-30,5.65,$0.42,13.45
2015-03-31,8.35,$0.59,14.15
2014-12-31,6.71,$0.56,11.98
2014-09-30,7.95,$0.68,11.69
2014-06-30,10.56,$0.59,17.9
2014-03-31,6.48,$0.52,12.47
2013-12-31,5.79,$0.50,11.58
2013-09-30,4.05,$0.45,8.99
2013-06-30,3.98,$0.45,8.84
2013-03-31,3.78,$0.31,12.19
2012-12-31,4.01,$0.30,13.36
2012-09-30,4.17,$0.28,14.9
2012-06-30,4.61,$0.28,16.47
2012-03-31,5.81,$0.35,16.59
2011-12-31,4.12,$0.39,10.56
2011-09-30,4.12,$0.48,8.58
2011-06-30,5.83,$0.67,8.7
2011-03-31,6.37,$0.83,7.67
2010-12-31,7.0,$0.91,7.69
2010-09-30,6.21,$1.04,5.97
2010-06-30,5.21,$1.05,4.96
2010-03-31,6.69,$0.87,7.69
2009-12-31,6.77,$0.57,11.87
