CVS Health PE Ratio Historical Data,CVS Health PE Ratio Historical Data,CVS Health PE Ratio Historical Data,CVS Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,68.64,,18.75
2024-12-31,44.89,$3.66,12.27
2024-09-30,62.17,$3.94,15.78
2024-06-30,57.73,$5.62,10.27
2024-03-31,77.23,$5.69,13.57
2023-12-31,75.77,$6.46,11.73
2023-09-30,66.43,$6.63,10.02
2023-06-30,65.25,$2.28,28.62
2023-03-31,69.56,$3.03,22.96
2022-12-31,86.64,$3.12,27.77
2022-09-30,88.13,$2.35,37.5
2022-06-30,85.12,$6.15,13.84
2022-03-31,92.49,$6.02,15.36
2021-12-31,93.77,$5.96,15.73
2021-09-30,76.7,$5.72,13.41
2021-06-30,74.96,$5.45,13.75
2021-03-31,67.14,$5.61,11.97
2020-12-31,60.55,$5.46,11.09
2020-09-30,51.34,$6.05,8.49
2020-06-30,56.67,$6.29,9.01
2020-03-31,51.33,$5.52,9.3
2019-12-31,63.84,$5.08,12.57
2019-09-30,53.79,$3.38,15.91
2019-06-30,46.06,$3.57,12.9
2019-03-31,45.15,$-0.44,0.0
2018-12-31,54.44,$-0.55,0.0
2018-09-30,64.96,$3.04,21.37
2018-06-30,52.7,$2.94,17.92
2018-03-31,50.56,$6.53,7.74
2017-12-31,58.56,$6.47,9.05
2017-09-30,65.25,$4.84,13.48
2017-06-30,64.14,$5.01,12.8
2017-03-31,62.18,$4.80,12.95
2016-12-31,62.13,$4.92,12.63
2016-09-30,69.72,$4.67,14.93
2016-06-30,74.68,$4.35,17.17
2016-03-31,80.58,$4.61,17.48
2015-12-31,75.61,$4.64,16.3
2015-09-30,74.36,$4.44,16.75
2015-06-30,80.58,$4.14,19.46
2015-03-31,79.02,$4.08,19.37
2014-12-31,73.48,$3.96,18.56
2014-09-30,60.52,$3.87,15.64
2014-06-30,57.11,$4.08,14.0
2014-03-31,56.51,$3.93,14.38
2013-12-31,53.81,$3.75,14.35
2013-09-30,42.51,$3.60,11.81
2013-06-30,42.67,$3.37,12.66
2013-03-31,40.88,$3.21,12.74
2012-12-31,35.79,$3.03,11.81
2012-09-30,35.72,$2.94,12.15
2012-06-30,34.35,$2.80,12.27
2012-03-31,32.81,$2.65,12.38
2011-12-31,29.75,$2.58,11.53
2011-09-30,24.42,$2.52,9.69
2011-06-30,27.22,$2.46,11.07
2011-03-31,24.78,$2.46,10.07
2010-12-31,25.01,$2.49,10.04
2010-09-30,22.57,$2.48,9.1
2010-06-30,20.97,$2.60,8.07
2010-03-31,26.09,$2.60,10.03
2009-12-31,22.92,$2.55,8.99
