Logan Ridge Finance PE Ratio Historical Data,Logan Ridge Finance PE Ratio Historical Data,Logan Ridge Finance PE Ratio Historical Data,Logan Ridge Finance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.59,,0.0
2024-12-31,24.99,$-0.10,0.0
2024-09-30,24.48,$-1.26,0.0
2024-06-30,21.75,$-1.49,0.0
2024-03-31,21.53,$-0.17,0.0
2023-12-31,21.34,$-1.06,0.0
2023-09-30,19.31,$-1.07,0.0
2023-06-30,19.04,$-1.43,0.0
2023-03-31,18.92,$-4.36,0.0
2022-12-31,20.17,$-4.44,0.0
2022-09-30,16.2,$-4.46,0.0
2022-06-30,14.23,$-4.66,0.0
2022-03-31,20.36,$-5.59,0.0
2021-12-31,20.73,$-1.23,0.0
2021-09-30,23.18,$0.16,144.86
2021-06-30,22.14,$2.69,8.23
2021-03-31,13.92,$6.62,2.1
2020-12-31,13.0,$-13.14,0.0
2020-09-30,8.49,$-13.34,0.0
2020-06-30,14.23,$-13.92,0.0
2020-03-31,16.94,$-25.92,0.0
2019-12-31,45.16,$-10.26,0.0
2019-09-30,41.65,$-13.68,0.0
2019-06-30,46.13,$-18.78,0.0
2019-03-31,37.8,$-6.36,0.0
2018-12-31,33.04,$-6.24,0.0
2018-09-30,38.88,$-3.06,0.0
2018-06-30,36.01,$-0.78,0.0
2018-03-31,32.5,$-4.44,0.0
2017-12-31,29.67,$-2.64,0.0
2017-09-30,37.68,$0.66,57.11
2017-06-30,49.45,$2.04,24.24
2017-03-31,53.06,$6.90,7.69
2016-12-31,46.48,$3.42,13.59
2016-09-30,45.73,$-3.06,0.0
2016-06-30,47.31,$0.66,71.71
2016-03-31,39.19,$-0.24,0.0
2015-12-31,37.78,$5.94,6.36
2015-09-30,38.69,$4.20,9.21
2015-06-30,44.62,$1.38,32.34
2015-03-31,51.76,$2.40,21.57
2014-12-31,47.95,$-1.62,0.0
2014-09-30,46.34,$6.66,6.96
2014-06-30,48.19,$10.20,4.72
