Heartland Express PE Ratio Historical Data,Heartland Express PE Ratio Historical Data,Heartland Express PE Ratio Historical Data,Heartland Express PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.34,,0.0
2024-12-31,11.22,$-0.37,0.0
2024-09-30,12.28,$-0.29,0.0
2024-06-30,12.31,$-0.31,0.0
2024-03-31,11.9,$-0.17,0.0
2023-12-31,14.19,$0.18,78.82
2023-09-30,14.59,$0.32,45.61
2023-06-30,16.28,$0.77,21.15
2023-03-31,15.78,$1.64,9.62
2022-12-31,15.18,$1.69,8.98
2022-09-30,14.14,$1.75,8.08
2022-06-30,13.73,$1.75,7.85
2022-03-31,13.87,$1.04,13.33
2021-12-31,16.56,$1.00,16.56
2021-09-30,15.75,$0.96,16.41
2021-06-30,16.33,$0.90,18.15
2021-03-31,18.65,$0.88,21.19
2020-12-31,17.22,$0.87,19.79
2020-09-30,17.68,$0.81,21.82
2020-06-30,19.77,$0.81,24.4
2020-03-31,17.61,$0.84,20.97
2019-12-31,19.94,$0.89,22.41
2019-09-30,20.36,$1.00,20.36
2019-06-30,17.09,$0.98,17.44
2019-03-31,18.21,$0.93,19.58
2018-12-31,17.27,$0.88,19.62
2018-09-30,18.6,$1.07,17.38
2018-06-30,17.47,$0.93,18.78
2018-03-31,16.93,$0.89,19.02
2017-12-31,21.94,$0.90,24.37
2017-09-30,23.55,$0.60,39.25
2017-06-30,19.53,$0.66,29.59
2017-03-31,18.79,$0.68,27.64
2016-12-31,19.06,$0.68,28.03
2016-09-30,17.66,$0.72,24.53
2016-06-30,16.25,$0.74,21.96
2016-03-31,17.31,$0.81,21.38
2015-12-31,15.87,$0.84,18.89
2015-09-30,18.57,$0.89,20.87
2015-06-30,18.82,$0.98,19.21
2015-03-31,22.09,$1.01,21.87
2014-12-31,25.09,$0.97,25.86
2014-09-30,22.24,$0.90,24.71
2014-06-30,19.79,$0.83,23.84
2014-03-31,21.02,$0.76,27.66
2013-12-31,18.16,$0.83,21.88
2013-09-30,13.12,$0.82,16.0
2013-06-30,12.81,$0.77,16.64
2013-03-31,12.3,$0.75,16.4
2012-12-31,12.03,$0.71,16.95
2012-09-30,11.4,$0.74,15.4
2012-06-30,12.19,$0.77,15.83
2012-03-31,12.3,$0.81,15.18
2011-12-31,12.14,$0.78,15.56
2011-09-30,11.5,$0.75,15.33
2011-06-30,14.02,$0.78,17.98
2011-03-31,14.84,$0.71,20.9
2010-12-31,13.53,$0.68,19.9
2010-09-30,12.55,$0.63,19.92
2010-06-30,11.45,$0.59,19.41
2010-03-31,12.99,$0.60,21.66
2009-12-31,12.01,$0.62,19.37
