Genesis Energy PE Ratio Historical Data,Genesis Energy PE Ratio Historical Data,Genesis Energy PE Ratio Historical Data,Genesis Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.05,,0.0
2024-12-31,10.11,$-1.24,0.0
2024-09-30,13.18,$-0.74,0.0
2024-06-30,13.95,$-0.13,0.0
2024-03-31,10.71,$0.34,31.5
2023-12-31,11.02,$0.22,50.07
2023-09-30,9.69,$0.45,21.52
2023-06-30,8.83,$0.04,220.63
2023-03-31,10.26,$-0.04,0.0
2022-12-31,9.18,$-0.03,0.0
2022-09-30,8.17,$-0.89,0.0
2022-06-30,7.02,$-1.09,0.0
2022-03-31,10.11,$-1.72,0.0
2021-12-31,9.12,$-1.95,0.0
2021-09-30,8.38,$-2.09,0.0
2021-06-30,9.62,$-2.16,0.0
2021-03-31,7.62,$-4.49,0.0
2020-12-31,4.94,$-4.01,0.0
2020-09-30,3.46,$-3.13,0.0
2020-06-30,5.44,$-2.75,0.0
2020-03-31,2.88,$0.24,12.01
2019-12-31,14.62,$0.17,85.98
2019-09-30,14.92,$-0.21,0.0
2019-06-30,14.86,$-0.35,0.0
2019-03-31,15.43,$-0.57,0.0
2018-12-31,11.92,$-0.62,0.0
2018-09-30,14.97,$-0.28,0.0
2018-06-30,13.48,$-0.12,0.0
2018-03-31,11.83,$0.21,56.34
2017-12-31,13.13,$0.51,25.74
2017-09-30,15.15,$0.71,21.34
2017-06-30,17.82,$0.98,18.18
2017-03-31,17.8,$0.92,19.35
2016-12-31,19.4,$1.01,19.21
2016-09-30,20.06,$1.06,18.93
2016-06-30,19.89,$4.16,4.78
2016-03-31,16.15,$4.06,3.98
2015-12-31,18.24,$3.95,4.62
2015-09-30,18.73,$3.99,4.69
2015-06-30,21.15,$0.94,22.5
2015-03-31,22.37,$1.06,21.11
2014-12-31,19.92,$1.19,16.74
2014-09-30,24.42,$1.11,22.0
2014-06-30,25.73,$1.00,25.73
2014-03-31,24.64,$1.09,22.6
2013-12-31,23.66,$1.03,22.97
2013-09-30,22.3,$1.17,19.06
2013-06-30,22.86,$1.34,17.06
2013-03-31,21.04,$1.24,16.97
2012-12-31,15.4,$1.23,12.52
2012-09-30,14.29,$0.99,14.43
2012-06-30,12.17,$0.87,13.98
2012-03-31,12.68,$0.91,13.93
2011-12-31,11.39,$0.75,15.18
2011-09-30,9.67,$0.67,14.43
2011-06-30,10.71,$0.52,20.59
2011-03-31,10.96,$0.54,20.3
2010-12-31,10.08,$0.49,20.56
2010-09-30,8.84,$0.55,16.08
2010-06-30,7.07,$0.57,12.4
2010-03-31,7.06,$0.41,17.23
2009-12-31,6.73,$0.51,13.19
