DICK'S Sporting Goods PE Ratio Historical Data,DICK'S Sporting Goods PE Ratio Historical Data,DICK'S Sporting Goods PE Ratio Historical Data,DICK'S Sporting Goods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,191.35,,18.36
2025-01-31,240.05,$10.42,23.04
2024-10-31,194.79,$13.99,13.92
2024-07-31,214.18,$13.63,15.71
2024-04-30,197.92,$12.08,16.38
2024-01-31,146.11,$12.18,12.0
2023-10-31,104.11,$11.21,9.29
2023-07-31,136.06,$11.27,12.07
2023-04-30,138.9,$11.70,11.87
2023-01-31,124.4,$10.77,11.55
2022-10-31,107.8,$11.33,9.51
2022-07-31,88.31,$11.66,7.57
2022-04-30,90.43,$12.94,6.99
2022-01-31,107.76,$13.88,7.76
2021-10-31,115.53,$12.93,8.94
2021-07-31,92.7,$11.99,7.73
2021-04-30,73.24,$10.58,6.92
2021-01-31,59.15,$5.46,10.83
2020-10-31,49.72,$4.06,12.25
2020-07-31,39.82,$2.88,13.83
2020-04-30,25.45,$1.02,24.95
2020-01-31,37.67,$3.34,11.28
2019-10-31,32.97,$3.60,9.16
2019-07-31,31.26,$3.33,9.39
2019-04-30,30.86,$3.27,9.44
2019-01-31,29.22,$3.25,8.99
2018-10-31,29.08,$3.29,8.84
2018-07-31,27.9,$3.25,8.58
2018-04-30,26.88,$3.08,8.73
2018-01-31,25.37,$3.01,8.43
2017-10-31,19.62,$2.71,7.24
2017-07-31,29.76,$2.80,10.63
2017-04-30,40.11,$2.59,15.49
2017-01-31,40.8,$2.57,15.88
2016-10-31,43.9,$2.89,15.19
2016-07-31,40.35,$2.86,14.11
2016-04-30,36.33,$2.81,12.93
2016-01-31,30.54,$2.84,10.75
2015-10-31,34.68,$3.01,11.52
2015-07-31,39.58,$3.01,13.15
2015-04-30,42.02,$2.81,14.95
2015-01-31,39.9,$2.85,14.0
2014-10-31,34.96,$2.66,13.14
2014-07-31,32.68,$2.65,12.33
2014-04-30,40.35,$2.75,14.67
2014-01-31,40.14,$2.70,14.87
2013-10-31,40.58,$2.62,15.49
2013-07-31,39.1,$2.62,14.93
2013-04-30,36.49,$2.38,15.33
2013-01-31,35.93,$2.31,15.55
2012-10-31,36.06,$2.16,16.69
2012-07-31,35.33,$2.09,16.91
2012-04-30,36.3,$2.25,16.13
2012-01-31,29.47,$2.10,14.04
2011-10-31,27.61,$1.93,14.31
2011-07-31,26.14,$1.74,15.02
2011-04-30,28.91,$1.58,18.3
2011-01-31,25.49,$1.50,17.0
2010-10-31,20.36,$1.35,15.08
2010-07-31,18.59,$1.37,13.57
2010-04-30,20.56,$1.27,16.19
2010-01-31,15.8,$1.14,13.86
2009-10-31,16.03,$-0.35,0.0
