OnKure Therapeutics PE Ratio Historical Data,OnKure Therapeutics PE Ratio Historical Data,OnKure Therapeutics PE Ratio Historical Data,OnKure Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.0,,0.0
2024-12-31,8.6,$-5.20,0.0
2024-09-30,1.7,$-12.20,0.0
2024-06-30,1.51,$-16.80,0.0
2024-03-31,1.66,$-21.70,0.0
2023-12-31,1.6,$-25.20,0.0
2023-09-30,7.62,$-23.80,0.0
2023-06-30,6.56,$-23.40,0.0
2023-03-31,5.98,$-21.90,0.0
2022-12-31,2.33,$-21.20,0.0
2022-09-30,3.35,$-19.90,0.0
2022-06-30,2.65,$-19.80,0.0
2022-03-31,2.94,$-19.10,0.0
