Viper Energy PE Ratio Historical Data,Viper Energy PE Ratio Historical Data,Viper Energy PE Ratio Historical Data,Viper Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,45.37,,12.36
2024-12-31,49.07,$3.67,13.37
2024-09-30,45.11,$2.33,19.36
2024-06-30,37.53,$2.92,12.85
2024-03-31,38.46,$2.72,14.14
2023-12-31,31.38,$2.70,11.62
2023-09-30,27.36,$2.29,11.95
2023-06-30,26.01,$2.24,11.61
2023-03-31,26.81,$2.26,11.86
2022-12-31,29.95,$2.01,14.9
2022-09-30,26.61,$2.22,11.98
2022-06-30,24.11,$1.42,16.98
2022-03-31,26.1,$1.05,24.85
2021-12-31,18.51,$0.78,23.73
2021-09-30,18.67,$-0.13,0.0
2021-06-30,15.81,$-0.40,0.0
2021-03-31,12.06,$-0.79,0.0
2020-12-31,9.54,$-2.84,0.0
2020-09-30,6.11,$-2.40,0.0
2020-06-30,8.39,$-2.26,0.0
2020-03-31,5.31,$-1.90,0.0
2019-12-31,19.36,$0.81,23.9
2019-09-30,21.31,$0.77,27.68
2019-06-30,23.37,$0.69,33.86
2019-03-31,24.85,$2.00,12.42
2018-12-31,19.23,$1.77,10.87
2018-09-30,30.56,$2.15,14.22
2018-06-30,22.8,$2.34,9.74
2018-03-31,17.85,$1.22,14.64
2017-12-31,16.08,$1.06,15.17
2017-09-30,12.64,$0.88,14.36
2017-06-30,10.44,$0.76,13.74
2017-03-31,11.76,$0.35,33.59
2016-12-31,10.31,$-0.16,0.0
2016-09-30,10.26,$-0.29,0.0
2016-06-30,11.71,$-0.33,0.0
2016-03-31,10.16,$-0.05,0.0
2015-12-31,8.56,$0.30,28.54
2015-09-30,8.66,$0.38,22.78
2015-06-30,11.74,$0.44,26.69
2015-03-31,10.78,$0.35,30.8
