Advanced Drainage Systems PE Ratio Historical Data,Advanced Drainage Systems PE Ratio Historical Data,Advanced Drainage Systems PE Ratio Historical Data,Advanced Drainage Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,109.66,,18.34
2024-12-31,115.6,$5.98,19.33
2024-09-30,156.97,$6.28,25.0
2024-06-30,160.04,$6.32,25.32
2024-03-31,171.86,$6.44,26.69
2023-12-31,140.21,$6.29,22.29
2023-09-30,113.35,$5.94,19.08
2023-06-30,113.18,$6.03,18.77
2023-03-31,83.64,$6.07,13.78
2022-12-31,81.31,$5.55,14.65
2022-09-30,123.21,$5.42,22.73
2022-06-30,89.15,$4.50,19.81
2022-03-31,117.47,$3.15,37.29
2021-12-31,134.47,$2.84,47.35
2021-09-30,106.76,$2.60,41.06
2021-06-30,114.94,$2.65,43.37
2021-03-31,101.84,$2.61,39.02
2020-12-31,82.26,$2.39,34.42
2020-09-30,61.38,$2.05,29.94
2020-06-30,48.48,$1.22,39.74
2020-03-31,28.83,$-3.67,0.0
2019-12-31,37.96,$-3.67,0.0
2019-09-30,31.46,$-3.70,0.0
2019-06-30,31.88,$-3.35,0.0
2019-03-31,24.14,$1.22,19.78
2018-12-31,22.64,$1.10,20.58
2018-09-30,28.85,$1.36,21.21
2018-06-30,26.59,$1.20,22.16
2018-03-31,24.06,$0.97,24.8
2017-12-31,22.09,$0.74,29.85
2017-09-30,18.7,$0.37,50.55
2017-06-30,18.5,$0.46,40.21
2017-03-31,20.08,$0.56,35.86
2016-12-31,18.84,$0.75,25.12
2016-09-30,21.94,$0.61,35.97
2016-06-30,24.89,$0.23,108.23
2016-03-31,19.33,$-0.15,0.0
2015-12-31,21.75,$-0.19,0.0
2015-09-30,26.14,$-0.20,0.0
2015-06-30,26.45,$0.31,85.33
