Infinera PE Ratio Historical Data,Infinera PE Ratio Historical Data,Infinera PE Ratio Historical Data,Infinera PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-02-27,6.64,,inf
2024-09-30,6.75,0.0,0.0
2024-06-30,6.09,0.0,0.0
2024-03-31,6.03,0.0,0.0
2023-12-31,4.75,0.0,0.0
2023-09-30,4.18,0.0,0.0
2023-06-30,4.83,0.0,0.0
2023-03-31,7.76,0.0,0.0
2022-12-31,6.74,0.0,0.0
2022-09-30,4.84,0.0,0.0
2022-06-30,5.36,0.0,0.0
2022-03-31,8.67,0.0,0.0
2021-12-31,9.59,0.0,0.0
2021-09-30,8.32,0.0,0.0
2021-06-30,10.2,0.0,0.0
2021-03-31,9.63,0.0,0.0
2020-12-31,10.48,0.0,0.0
2020-09-30,6.16,0.0,0.0
2020-06-30,5.92,0.0,0.0
2020-03-31,5.3,0.0,0.0
2019-12-31,7.94,0.0,0.0
2019-09-30,5.45,0.0,0.0
2019-06-30,2.91,0.0,0.0
2019-03-31,4.34,0.0,0.0
2018-12-31,3.99,0.0,0.0
2018-09-30,7.3,0.0,0.0
2018-06-30,9.93,0.0,0.0
2018-03-31,10.86,0.0,0.0
2017-12-31,6.33,0.0,0.0
2017-09-30,8.87,0.0,0.0
2017-06-30,10.67,0.0,0.0
2017-03-31,10.23,0.0,0.0
2016-12-31,8.49,0.0,0.0
2016-09-30,9.03,0.0,0.0
2016-06-30,11.28,0.0,0.0
2016-03-31,16.06,0.0,0.0
2015-12-31,18.12,0.0,0.0
2015-09-30,19.55,0.0,0.0
2015-06-30,20.98,0.0,0.0
2015-03-31,19.67,0.0,0.0
2014-12-31,14.72,0.0,0.0
2014-09-30,10.67,0.0,0.0
2014-06-30,9.2,0.0,0.0
2014-03-31,9.08,0.0,0.0
2013-12-31,9.78,0.0,0.0
2013-09-30,11.32,0.0,0.0
2013-06-30,10.67,0.0,0.0
2013-03-31,7.0,0.0,0.0
2012-12-31,5.81,0.0,0.0
2012-09-30,5.48,0.0,0.0
2012-06-30,6.84,0.0,0.0
2012-03-31,8.12,0.0,0.0
2011-12-31,6.28,0.0,0.0
2011-09-30,7.72,0.0,0.0
2011-06-30,6.91,0.0,0.0
2011-03-31,8.39,0.0,0.0
2010-12-31,10.33,0.0,0.0
2010-09-30,11.67,0.0,0.0
2010-06-30,6.43,0.0,0.0
2010-03-31,8.52,0.0,0.0
2009-12-31,8.87,0.0,0.0
