Southern PE Ratio Historical Data,Southern PE Ratio Historical Data,Southern PE Ratio Historical Data,Southern PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,89.97,,22.44
2024-12-31,82.32,$4.01,20.53
2024-09-30,89.45,$4.30,20.8
2024-06-30,76.31,$4.20,18.17
2024-03-31,69.94,$3.87,18.07
2023-12-31,67.65,$3.63,18.64
2023-09-30,61.82,$2.77,22.32
2023-06-30,66.42,$2.83,23.47
2023-03-31,65.16,$3.10,21.02
2022-12-31,66.2,$3.28,20.18
2022-09-30,62.39,$3.16,19.74
2022-06-30,64.86,$2.84,22.84
2022-03-31,65.35,$2.16,30.25
2021-12-31,61.18,$2.26,27.07
2021-09-30,54.7,$2.83,19.33
2021-06-30,52.87,$2.97,17.8
2021-03-31,53.77,$3.20,16.8
2020-12-31,52.58,$2.95,17.82
2020-09-30,45.95,$3.00,15.32
2020-06-30,43.42,$3.08,14.1
2020-03-31,44.79,$3.36,13.33
2019-12-31,52.23,$4.55,11.48
2019-09-30,50.15,$4.40,11.4
2019-06-30,44.4,$4.28,10.37
2019-03-31,41.04,$3.27,12.55
2018-12-31,34.45,$2.19,15.73
2018-09-30,33.77,$2.41,14.01
2018-06-30,35.41,$2.34,15.13
2018-03-31,33.68,$1.12,30.07
2017-12-31,35.79,$0.85,42.11
2017-09-30,36.16,$0.56,64.58
2017-06-30,34.81,$0.67,51.96
2017-03-31,35.78,$2.72,13.15
2016-12-31,34.95,$2.59,13.49
2016-09-30,36.02,$2.69,13.39
2016-06-30,37.26,$2.56,14.56
2016-03-31,35.54,$2.57,13.83
2015-12-31,31.79,$2.60,12.23
2015-09-30,30.0,$2.63,11.41
2015-06-30,27.79,$2.38,11.68
2015-03-31,29.01,$2.37,12.24
2014-12-31,31.81,$2.20,14.46
2014-09-30,27.96,$2.34,11.95
2014-06-30,28.72,$2.51,11.44
2014-03-31,27.49,$2.17,12.67
2013-12-31,25.4,$1.87,13.59
2013-09-30,25.14,$1.84,13.66
2013-06-30,26.63,$1.98,13.45
2013-03-31,28.01,$2.35,11.92
2012-12-31,25.28,$2.68,9.43
2012-09-30,26.93,$2.54,10.6
2012-06-30,26.78,$2.50,10.71
2012-03-31,25.7,$2.50,10.28
2011-12-31,26.2,$2.58,10.16
2011-09-30,23.72,$2.46,9.64
2011-06-30,22.35,$2.37,9.43
2011-03-31,20.84,$2.28,9.14
2010-12-31,20.65,$2.38,8.68
2010-09-30,19.88,$2.51,7.92
2010-06-30,17.54,$2.52,6.96
2010-03-31,17.25,$2.51,6.87
2009-12-31,17.1,$2.07,8.26
