FuboTV PE Ratio Historical Data,FuboTV PE Ratio Historical Data,FuboTV PE Ratio Historical Data,FuboTV PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.08,,0.0
2024-12-31,1.26,$-0.54,0.0
2024-09-30,1.42,$-0.67,0.0
2024-06-30,1.24,$-0.80,0.0
2024-03-31,1.58,$-0.89,0.0
2023-12-31,3.18,$-1.07,0.0
2023-09-30,2.67,$-1.59,0.0
2023-06-30,2.08,$-2.12,0.0
2023-03-31,1.21,$-2.58,0.0
2022-12-31,1.74,$-3.10,0.0
2022-09-30,3.55,$-3.10,0.0
2022-06-30,2.47,$-3.02,0.0
2022-03-31,6.57,$-3.07,0.0
2021-12-31,15.52,$-2.77,0.0
2021-09-30,23.96,$-4.48,0.0
