Eagle Materials Inc PE Ratio Historical Data,Eagle Materials Inc PE Ratio Historical Data,Eagle Materials Inc PE Ratio Historical Data,Eagle Materials Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,217.29,,15.52
2024-12-31,246.76,$14.00,17.63
2024-09-30,287.38,$14.16,20.3
2024-06-30,217.06,$14.16,15.33
2024-03-31,270.96,$13.62,19.89
2023-12-31,202.05,$14.17,14.26
2023-09-30,165.67,$13.65,12.14
2023-06-30,185.21,$13.11,14.13
2023-03-31,145.58,$12.46,11.68
2022-12-31,131.55,$11.57,11.37
2022-09-30,105.93,$10.90,9.72
2022-06-30,108.42,$9.64,11.25
2022-03-31,126.33,$9.14,13.82
2021-12-31,163.52,$8.80,18.58
2021-09-30,128.64,$8.21,15.67
2021-06-30,139.12,$8.06,17.26
2021-03-31,131.35,$8.12,16.18
2020-12-31,99.04,$8.30,11.93
2020-09-30,84.35,$3.59,23.5
2020-06-30,68.62,$3.00,22.87
2020-03-31,57.0,$1.63,34.97
2019-12-31,88.46,$-2.93,0.0
2019-09-30,87.63,$1.08,81.14
2019-06-30,90.25,$0.89,101.4
2019-03-31,81.88,$1.33,61.56
2018-12-31,59.28,$4.91,12.07
2018-09-30,82.56,$5.75,14.36
2018-06-30,101.67,$5.53,18.38
2018-03-31,99.62,$5.28,18.87
2017-12-31,109.52,$5.27,20.78
2017-09-30,102.96,$4.36,23.61
2017-06-30,89.18,$4.30,20.74
2017-03-31,93.54,$4.10,22.81
2016-12-31,94.87,$4.15,22.86
2016-09-30,74.26,$3.90,19.04
2016-06-30,74.12,$3.24,22.88
2016-03-31,67.17,$3.06,21.95
2015-12-31,57.9,$3.19,18.15
2015-09-30,65.35,$3.30,19.8
2015-06-30,72.91,$3.71,19.65
2015-03-31,79.61,$3.71,21.46
2014-12-31,72.44,$3.23,22.43
2014-09-30,96.8,$2.83,34.2
2014-06-30,89.62,$2.63,34.08
2014-03-31,84.09,$2.48,33.91
2013-12-31,73.44,$2.19,33.54
2013-09-30,68.63,$1.93,35.56
2013-06-30,62.69,$1.53,40.97
2013-03-31,62.84,$1.24,50.68
2012-12-31,55.17,$1.28,43.1
2012-09-30,43.55,$0.98,44.44
2012-06-30,35.08,$0.72,48.72
2012-03-31,32.45,$0.48,67.61
2011-12-31,23.96,$0.03,798.81
2011-09-30,15.48,$0.08,193.53
2011-06-30,25.76,$0.16,161.0
2011-03-31,27.87,$0.33,84.45
2010-12-31,25.93,$0.62,41.82
2010-09-30,21.58,$0.61,35.38
2010-06-30,23.62,$0.67,35.25
2010-03-31,24.08,$0.70,34.4
2009-12-31,23.55,$0.82,28.72
