Electronic Arts PE Ratio Historical Data,Electronic Arts PE Ratio Historical Data,Electronic Arts PE Ratio Historical Data,Electronic Arts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,143.25,,36.45
2024-12-31,146.3,$3.93,37.23
2024-09-30,143.27,$3.89,36.83
2024-06-30,138.99,$4.25,32.7
2024-03-31,132.16,$4.68,28.24
2023-12-31,136.1,$3.97,34.28
2023-09-30,119.6,$3.63,32.95
2023-06-30,128.64,$3.23,39.83
2023-03-31,119.29,$2.87,41.56
2022-12-31,120.79,$3.71,32.56
2022-09-30,114.23,$3.21,35.58
2022-06-30,119.91,$3.16,37.95
2022-03-31,124.53,$2.76,45.12
2021-12-31,129.66,$2.22,58.41
2021-09-30,139.65,$2.71,51.53
2021-06-30,141.03,$2.32,60.79
2021-03-31,132.58,$2.86,46.36
2020-12-31,140.47,$4.03,34.85
2020-09-30,127.39,$4.49,28.37
2020-06-30,129.0,$6.75,19.11
2020-03-31,97.85,$10.25,9.55
2019-12-31,105.02,$9.51,11.04
2019-09-30,95.56,$9.19,10.4
2019-06-30,98.92,$7.13,13.87
2019-03-31,99.28,$3.33,29.81
2018-12-31,77.08,$4.59,16.79
2018-09-30,117.7,$3.13,37.6
2018-06-30,137.76,$2.23,61.77
2018-03-31,118.44,$3.34,35.46
2017-12-31,102.63,$3.20,32.07
2017-09-30,115.33,$3.80,30.35
2017-06-30,103.27,$3.74,27.61
2017-03-31,87.45,$3.08,28.39
2016-12-31,76.94,$4.06,18.95
2016-09-30,83.42,$3.92,21.28
2016-06-30,74.01,$3.60,20.56
2016-03-31,64.58,$3.52,18.35
2015-12-31,67.13,$1.92,34.96
2015-09-30,66.18,$2.50,26.47
2015-06-30,64.96,$2.96,21.95
2015-03-31,57.45,$2.68,21.44
2014-12-31,45.93,$2.64,17.4
2014-09-30,34.79,$1.20,28.99
2014-06-30,35.04,$0.30,116.8
2014-03-31,28.34,$-0.03,0.0
2013-12-31,22.41,$-0.13,0.0
2013-09-30,24.96,$0.72,34.67
2013-06-30,22.46,$0.40,56.15
2013-03-31,17.29,$0.32,54.03
2012-12-31,14.18,$0.47,30.18
2012-09-30,12.4,0,0.0
2012-06-30,12.06,$0.18,67.02
2012-03-31,16.1,$0.21,76.68
2011-12-31,20.12,$-0.54,0.0
2011-09-30,19.98,$-0.89,0.0
2011-06-30,23.05,$-0.47,0.0
2011-03-31,19.08,$-0.84,0.0
2010-12-31,16.0,$-1.20,0.0
2010-09-30,16.07,$-0.48,0.0
2010-06-30,14.07,$-1.08,0.0
2010-03-31,18.23,$-2.09,0.0
2009-12-31,17.34,$-2.31,0.0
