SurgePays PE Ratio Historical Data,SurgePays PE Ratio Historical Data,SurgePays PE Ratio Historical Data,SurgePays PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.35,,0.0
2024-09-30,1.84,$-1.13,0.0
2024-06-30,3.19,$0.09,35.44
2024-03-31,3.85,$1.15,3.35
2023-12-31,6.45,$1.39,4.64
2023-09-30,4.68,$1.45,3.23
2023-06-30,7.31,$0.84,8.7
2023-03-31,4.49,$0.37,12.14
2022-12-31,6.56,$-0.04,0.0
2022-09-30,4.55,$-1.17,0.0
