NeuroMetrix PE Ratio Historical Data,NeuroMetrix PE Ratio Historical Data,NeuroMetrix PE Ratio Historical Data,NeuroMetrix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.58,,0.0
2024-09-30,3.97,$-4.59,0.0
2024-06-30,3.69,$-5.52,0.0
2024-03-31,4.25,$-6.30,0.0
2023-12-31,3.6,$-6.23,0.0
2023-09-30,5.73,$-5.52,0.0
2023-06-30,7.8,$-5.68,0.0
2023-03-31,11.76,$-5.52,0.0
2022-12-31,11.92,$-5.04,0.0
2022-09-30,22.32,$-5.52,0.0
2022-06-30,29.44,$-4.64,0.0
2022-03-31,33.28,$-4.32,0.0
2021-12-31,40.16,$-3.36,0.0
2021-09-30,81.12,$-2.56,0.0
2021-06-30,27.28,$-2.16,0.0
2021-03-31,27.28,$-3.36,0.0
2020-12-31,25.28,$-6.80,0.0
2020-09-30,13.6,$-6.40,0.0
2020-06-30,16.4,$-17.04,0.0
2020-03-31,9.09,$-44.40,0.0
2019-12-31,34.4,$-28.80,0.0
2019-09-30,25.6,$-44.80,0.0
2019-06-30,32.8,$-21.60,0.0
2019-03-31,88.0,$11.20,7.86
2018-12-31,60.8,$5.60,10.86
2018-09-30,106.4,$21.60,4.93
2018-06-30,104.8,$-239.20,0.0
2018-03-31,112.8,$-441.60,0.0
2017-12-31,138.32,"$-1,030.40",0.0
2017-09-30,163.2,"$-1,363.20",0.0
2017-06-30,215.2,"$-1,600.80",0.0
2017-03-31,396.8,"$-4,838.40",0.0
2016-12-31,472.7,"$-4,896.00",0.0
2016-09-30,998.4,"$-6,604.80",0.0
2016-06-30,1062.4,"$-6,784.00",0.0
2016-03-31,1171.2,"$-4,576.00",0.0
2015-12-31,1267.2,"$-4,576.00",0.0
2015-09-30,2259.2,"$-3,456.00",0.0
2015-06-30,2328.06,"$-3,276.80",0.0
2015-03-31,4300.8,"$-4,224.00",0.0
2014-12-31,4992.0,"$-4,121.60",0.0
2014-09-30,4608.0,"$-5,427.20",0.0
2014-06-30,4966.4,"$-5,606.40",0.0
2014-03-31,5990.4,"$-5,785.60",0.0
2013-12-31,7475.2,"$-7,961.60",0.0
2013-09-30,4224.0,"$-8,012.80",0.0
2013-06-30,5120.0,"$-10,572.16",0.0
2013-03-31,6323.2,"$-11,595.48",0.0
2012-12-31,6643.2,"$-13,949.67",0.0
2012-09-30,9369.6,"$-21,346.13",0.0
2012-06-30,9523.2,"$-27,796.04",0.0
2012-03-31,11366.4,"$-34,551.06",0.0
2011-12-31,19200.0,"$-40,538.05",0.0
2011-09-30,26880.0,"$-47,445.35",0.0
2011-06-30,37334.02,"$-51,588.96",0.0
2011-03-31,47923.2,"$-59,880.05",0.0
2010-12-31,62659.58,"$-67,249.90",0.0
2010-09-30,55249.92,"$-48,825.27",0.0
2010-06-30,105117.7,"$-87,516.99",0.0
2010-03-31,176025.6,"$-81,068.37",0.0
2009-12-31,227635.2,"$-70,934.82",0.0
