Lifetime Brands PE Ratio Historical Data,Lifetime Brands PE Ratio Historical Data,Lifetime Brands PE Ratio Historical Data,Lifetime Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.61,,0.0
2024-12-31,5.91,$-1.12,0.0
2024-09-30,6.49,$-0.99,0.0
2024-06-30,8.48,$-0.81,0.0
2024-03-31,10.3,$-0.27,0.0
2023-12-31,6.56,$-0.39,0.0
2023-09-30,5.46,$-0.37,0.0
2023-06-30,5.44,$-0.87,0.0
2023-03-31,5.61,$-0.72,0.0
2022-12-31,7.21,$-0.29,0.0
2022-09-30,6.4,$-0.47,0.0
2022-06-30,10.39,$0.40,25.97
2022-03-31,12.04,$0.82,14.69
2021-12-31,14.94,$0.94,15.89
2021-09-30,16.97,$1.67,10.16
2021-06-30,13.93,$1.75,7.96
2021-03-31,13.63,$1.30,10.48
2020-12-31,14.06,$-0.20,0.0
2020-09-30,8.67,$-1.60,0.0
2020-06-30,6.13,$-2.91,0.0
2020-03-31,5.15,$-3.28,0.0
2019-12-31,6.3,$-2.16,0.0
2019-09-30,7.98,$-0.97,0.0
2019-06-30,8.49,$-0.02,0.0
2019-03-31,8.44,$0.24,35.17
2018-12-31,8.92,$-0.22,0.0
2018-09-30,9.65,$-0.63,0.0
2018-06-30,11.16,$-0.63,0.0
2018-03-31,10.9,$-0.47,0.0
2017-12-31,14.47,$0.14,103.38
2017-09-30,16.02,$1.06,15.11
2017-06-30,15.85,$1.21,13.1
2017-03-31,17.52,$1.27,13.79
2016-12-31,15.42,$1.05,14.69
2016-09-30,11.66,$0.82,14.22
2016-06-30,12.6,$0.74,17.03
2016-03-31,12.98,$0.70,18.55
2015-12-31,11.38,$0.86,13.24
2015-09-30,11.97,$0.75,15.96
2015-06-30,12.61,$0.27,46.72
2015-03-31,13.02,$0.15,86.78
2014-12-31,14.62,$0.08,182.71
2014-09-30,12.98,$0.14,92.73
2014-06-30,13.3,$0.34,39.12
2014-03-31,15.08,$0.54,27.93
2013-12-31,13.25,$0.71,18.66
2013-09-30,12.85,$1.18,10.89
2013-06-30,11.39,$1.40,8.14
2013-03-31,9.55,$1.48,6.45
2012-12-31,8.86,$1.64,5.4
2012-09-30,9.92,$0.88,11.28
2012-06-30,10.37,$1.18,8.79
2012-03-31,9.33,$1.31,7.12
2011-12-31,10.05,$1.12,8.98
2011-09-30,7.97,$1.76,4.53
2011-06-30,9.68,$1.68,5.76
2011-03-31,12.35,$1.43,8.64
2010-12-31,11.56,$1.57,7.36
2010-09-30,12.43,$0.92,13.51
2010-06-30,12.04,$0.80,15.04
2010-03-31,9.71,$0.78,12.44
2009-12-31,5.89,$0.22,26.76
