Veren PE Ratio Historical Data,Veren PE Ratio Historical Data,Veren PE Ratio Historical Data,Veren PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.63,,20.72
2024-12-31,5.14,$0.32,16.06
2024-09-30,6.01,$1.40,4.29
2024-06-30,7.58,$-0.06,0.0
2024-03-31,7.81,$-0.08,0.0
2023-12-31,6.53,$0.70,9.33
2023-09-30,7.72,$-1.21,0.0
2023-06-30,6.19,$0.55,11.25
2023-03-31,6.42,$0.71,9.04
2022-12-31,6.41,$2.02,3.17
2022-09-30,5.46,$2.84,1.92
2022-06-30,6.25,$2.31,2.71
2022-03-31,6.33,$4.83,1.31
2021-12-31,4.64,$3.26,1.42
2021-09-30,3.99,$3.02,1.32
2021-06-30,3.92,$2.92,1.34
2021-03-31,3.6,$-0.24,0.0
2020-12-31,2.02,$-3.39,0.0
2020-09-30,1.05,$-4.62,0.0
2020-06-30,1.4,$-5.04,0.0
2020-03-31,0.66,$-4.58,0.0
2019-12-31,3.82,$-1.46,0.0
2019-09-30,3.63,$-3.44,0.0
2019-06-30,2.81,$-2.98,0.0
2019-03-31,2.75,$-3.48,0.0
2018-12-31,2.56,$-3.61,0.0
2018-09-30,5.31,$-0.40,0.0
2018-06-30,6.08,$-0.84,0.0
2018-03-31,5.58,$-0.50,0.0
2017-12-31,6.19,$-0.20,0.0
2017-09-30,6.48,$-0.82,0.0
2017-06-30,6.1,$-0.58,0.0
2017-03-31,8.56,$-1.04,0.0
2016-12-31,10.69,$-1.33,0.0
2016-09-30,10.33,$-1.20,0.0
2016-06-30,12.29,$-1.35,0.0
2016-03-31,10.73,$-1.43,0.0
2015-12-31,8.89,$-1.39,0.0
2015-09-30,8.58,$-0.61,0.0
2015-06-30,14.99,$0.23,65.17
2015-03-31,15.96,$0.88,18.14
2014-12-31,16.17,$1.03,15.7
2014-09-30,24.68,$0.79,31.24
2014-06-30,29.82,$0.47,63.44
2014-03-31,24.19,$0.43,56.26
2013-12-31,25.29,$0.36,70.24
2013-09-30,24.28,$0.13,186.75
2013-06-30,21.39,$-0.07,0.0
2013-03-31,23.29,$0.64,36.39
2012-12-31,22.87,$0.63,36.3
2012-09-30,26.25,$0.59,44.5
