Franco-Nevada PE Ratio Historical Data,Franco-Nevada PE Ratio Historical Data,Franco-Nevada PE Ratio Historical Data,Franco-Nevada PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,155.53,,0.0
2024-09-30,123.89,$-3.16,0.0
2024-06-30,117.84,$-3.04,0.0
2024-03-31,118.11,$-2.49,0.0
2023-12-31,109.49,$-2.43,0.0
2023-09-30,131.49,$3.54,37.14
2023-06-30,140.12,$3.45,40.61
2023-03-31,142.93,$3.51,40.72
2022-12-31,133.46,$3.65,36.56
2022-09-30,116.57,$3.95,29.51
2022-06-30,128.04,$4.00,32.01
2022-03-31,154.88,$3.90,39.71
2021-12-31,133.99,$3.85,34.8
2021-09-30,125.59,$3.61,34.79
2021-06-30,139.95,$3.55,39.42
2021-03-31,120.63,$3.13,38.54
2020-12-31,120.39,$1.71,70.41
2020-09-30,133.82,$1.39,96.28
2020-06-30,133.65,$1.12,119.33
2020-03-31,95.07,$0.96,99.03
2019-12-31,98.44,$1.83,53.79
2019-09-30,86.65,$1.06,81.74
2019-06-30,80.46,$0.80,100.58
2019-03-31,70.91,$0.75,94.55
2018-12-31,66.1,$0.75,88.13
2018-09-30,58.72,$1.15,51.06
2018-06-30,68.29,$1.19,57.38
2018-03-31,63.74,$1.15,55.43
2017-12-31,74.26,$1.05,70.73
2017-09-30,71.76,$0.79,90.83
2017-06-30,66.64,$0.77,86.55
2017-03-31,60.31,$0.76,79.36
2016-12-31,54.82,$0.69,79.45
2016-09-30,63.85,$0.52,122.79
2016-06-30,69.29,$0.32,216.53
2016-03-31,55.74,$0.22,253.36
2015-12-31,41.4,$0.16,258.77
2015-09-30,39.67,$0.37,107.21
2015-06-30,42.72,$0.49,87.19
2015-03-31,43.33,$0.60,72.22
2014-12-31,43.73,$0.72,60.74
2014-09-30,43.29,$0.16,270.56
2014-06-30,50.6,$0.18,281.09
2014-03-31,40.29,$0.08,503.68
2013-12-31,35.66,$0.08,445.77
2013-09-30,39.44,$0.40,98.61
2013-06-30,31.03,$0.52,59.68
2013-03-31,39.38,$0.63,62.51
2012-12-31,49.21,$0.72,68.35
2012-09-30,50.6,$0.15,337.31
2012-06-30,38.69,$0.14,276.35
2012-03-31,36.68,$0.14,262.03
2011-12-31,32.4,$-0.01,0.0
2011-09-30,30.61,$0.94,32.56
