Emerson Radio PE Ratio Historical Data,Emerson Radio PE Ratio Historical Data,Emerson Radio PE Ratio Historical Data,Emerson Radio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.45,,0.0
2024-12-31,0.42,$-0.16,0.0
2024-09-30,0.51,$-0.15,0.0
2024-06-30,0.59,$0.02,29.5
2024-03-31,0.53,$0.04,13.25
2023-12-31,0.55,$0.09,6.12
2023-09-30,0.57,$0.10,5.66
2023-06-30,0.59,$-0.04,0.0
2023-03-31,0.54,$-0.06,0.0
2022-12-31,0.53,$-0.07,0.0
2022-09-30,0.58,$-0.12,0.0
2022-06-30,0.66,$-0.14,0.0
2022-03-31,0.77,$-0.13,0.0
2021-12-31,0.81,$-0.13,0.0
2021-09-30,1.13,$-0.11,0.0
2021-06-30,1.18,$-0.13,0.0
2021-03-31,1.28,$-0.14,0.0
2020-12-31,1.01,$-0.20,0.0
2020-09-30,0.68,$-0.21,0.0
2020-06-30,0.67,$-0.20,0.0
2020-03-31,0.7,$-0.20,0.0
2019-12-31,0.82,$-0.16,0.0
2019-09-30,0.99,$-0.13,0.0
2019-06-30,1.03,$-0.12,0.0
2019-03-31,1.3,$-0.11,0.0
2018-12-31,1.44,$-0.24,0.0
2018-09-30,1.46,$-0.27,0.0
2018-06-30,1.46,$-0.28,0.0
2018-03-31,1.46,$-0.27,0.0
2017-12-31,1.46,$-0.15,0.0
2017-09-30,1.34,$-0.08,0.0
2017-06-30,1.39,$-0.04,0.0
2017-03-31,1.36,$-0.01,0.0
2016-12-31,1.05,$0.01,105.0
2016-09-30,1.02,$-0.01,0.0
2016-06-30,0.58,$-0.04,0.0
2016-03-31,0.84,$-0.04,0.0
2015-12-31,0.99,$-0.09,0.0
2015-09-30,1.22,$-0.09,0.0
2015-06-30,1.16,$-0.06,0.0
2015-03-31,1.32,$-0.04,0.0
2014-12-31,1.05,$0.06,17.5
2014-09-30,1.27,$0.01,0.0
2014-06-30,1.14,$0.02,57.22
2014-03-31,1.34,$0.05,26.74
2013-12-31,1.22,$-0.04,0.0
2013-09-30,1.21,$0.07,17.27
2013-06-30,1.07,$0.13,8.26
2013-03-31,1.06,$0.22,4.82
2012-12-31,1.11,$0.36,3.09
2012-09-30,1.31,$0.42,3.12
2012-06-30,1.32,$0.41,3.21
2012-03-31,1.29,$0.39,3.31
2011-12-31,1.02,$0.40,2.56
2011-09-30,0.98,$0.43,2.29
2011-06-30,1.3,$0.49,2.65
2011-03-31,1.56,$0.59,2.64
2010-12-31,1.27,$0.62,2.05
2010-09-30,1.45,$0.60,2.41
2010-06-30,1.09,$0.60,1.82
2010-03-31,1.4,$0.42,3.32
2009-12-31,1.04,$0.20,5.21
