InterCure PE Ratio Historical Data,InterCure PE Ratio Historical Data,InterCure PE Ratio Historical Data,InterCure PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.49,,14.9
2024-06-30,2.01,$0.10,20.1
2023-03-31,2.04,$0.20,10.2
2022-12-31,3.3,$0.31,10.65
2022-09-30,4.5,$0.25,18.0
