Mayville Engineering PE Ratio Historical Data,Mayville Engineering PE Ratio Historical Data,Mayville Engineering PE Ratio Historical Data,Mayville Engineering PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.36,,11.58
2024-12-31,15.72,$1.24,12.68
2024-09-30,21.08,$0.59,35.73
2024-06-30,16.66,$0.52,32.04
2024-03-31,14.33,$0.42,34.12
2023-12-31,14.42,$0.38,37.95
2023-09-30,10.97,$0.39,28.13
2023-06-30,12.46,$0.64,19.47
2023-03-31,14.92,$0.85,17.55
2022-12-31,12.66,$0.92,13.76
2022-09-30,6.51,$0.15,43.4
2022-06-30,7.74,$-0.16,0.0
2022-03-31,9.37,$-0.29,0.0
2021-12-31,14.91,$-0.36,0.0
2021-09-30,18.8,$0.34,55.29
2021-06-30,20.11,$0.28,71.82
2021-03-31,14.38,$-0.23,0.0
2020-12-31,13.42,$-0.35,0.0
2020-09-30,9.19,$-0.48,0.0
2020-06-30,7.9,$0.06,131.67
2020-03-31,6.13,$-0.51,0.0
