Radio One PE Ratio Historical Data,Radio One PE Ratio Historical Data,Radio One PE Ratio Historical Data,Radio One PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.41,,0.0
2024-09-30,1.76,$-1.70,0.0
2024-06-30,1.99,$-2.16,0.0
2024-03-31,2.7,$0.17,15.88
2023-12-31,4.03,$-0.04,0.0
2023-09-30,5.02,$0.21,23.9
2023-06-30,5.99,$1.43,4.19
2023-03-31,7.55,$0.32,23.59
2022-12-31,4.55,$0.68,6.69
2022-09-30,5.29,$0.78,6.78
2022-06-30,5.46,$0.95,5.75
2022-03-31,6.25,$1.00,6.25
2021-12-31,4.65,$0.70,6.64
2021-09-30,8.12,$1.13,7.19
2021-06-30,8.67,$0.59,14.69
2021-03-31,5.39,$0.29,18.59
2020-12-31,4.21,$-0.22,0.0
2020-09-30,5.73,$-0.95,0.0
2020-06-30,20.25,$-0.54,0.0
2020-03-31,1.06,$-0.43,0.0
2019-12-31,2.02,$-0.07,0.0
2019-09-30,1.94,$2.60,0.75
2019-06-30,2.1,$2.97,0.71
2019-03-31,2.48,$3.32,0.75
2018-12-31,2.09,$2.99,0.7
2018-09-30,2.4,$3.00,0.8
2018-06-30,2.43,$2.34,1.04
2018-03-31,2.0,$1.87,1.07
2017-12-31,1.85,$2.30,0.8
2017-09-30,1.65,$-0.27,0.0
2017-06-30,2.25,$-0.11,0.0
2017-03-31,3.2,$0.02,160.0
2016-12-31,2.95,$-0.01,0.0
2016-09-30,2.94,$-0.44,0.0
2016-06-30,3.13,$-0.81,0.0
2016-03-31,1.45,$-1.23,0.0
2015-12-31,1.65,$-1.54,0.0
2015-09-30,2.2,$-1.32,0.0
2015-06-30,3.3,$-1.22,0.0
2015-03-31,3.01,$-1.18,0.0
2014-12-31,1.64,$-1.32,0.0
2014-09-30,3.05,$-1.39,0.0
2014-06-30,4.9,$-1.39,0.0
2014-03-31,4.71,$-1.45,0.0
2013-12-31,3.8,$-1.28,0.0
2013-09-30,2.62,$-1.27,0.0
2013-06-30,2.47,$-1.25,0.0
2013-03-31,1.74,$-0.11,0.0
2012-12-31,0.72,$-1.33,0.0
2012-09-30,0.81,$-1.37,0.0
2012-06-30,0.91,$-1.31,0.0
2012-03-31,1.05,$-0.30,0.0
2011-12-31,0.95,$0.05,19.0
2011-09-30,1.21,$-0.09,0.0
2011-06-30,1.71,$0.13,13.15
2011-03-31,2.08,$-1.69,0.0
2010-12-31,1.15,$-0.55,0.0
2010-09-30,1.07,$-0.31,0.0
2010-06-30,1.4,$-0.08,0.0
2010-03-31,3.2,$-0.00,0.0
2009-12-31,3.03,$-0.75,0.0
