Veru PE Ratio Historical Data,Veru PE Ratio Historical Data,Veru PE Ratio Historical Data,Veru PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.5,,0.0
2024-12-31,0.65,$-0.26,0.0
2024-09-30,0.77,$-0.28,0.0
2024-06-30,0.84,$-0.48,0.0
2024-03-31,0.7,$-0.34,0.0
2023-12-31,0.72,$-0.75,0.0
2023-09-30,0.72,$-1.13,0.0
2023-06-30,1.19,$-1.38,0.0
2023-03-31,1.16,$-1.73,0.0
2022-12-31,5.28,$-1.43,0.0
2022-09-30,11.52,$-1.05,0.0
2022-06-30,11.3,$-0.59,0.0
2022-03-31,4.83,$-0.34,0.0
2021-12-31,5.89,$-0.20,0.0
2021-09-30,8.53,$0.11,77.55
2021-06-30,8.07,$-0.01,0.0
2021-03-31,10.78,$-0.03,0.0
2020-12-31,8.65,0,0.0
2020-09-30,2.62,$-0.28,0.0
2020-06-30,3.34,$-0.16,0.0
2020-03-31,3.27,$-0.15,0.0
2019-12-31,3.35,$-0.20,0.0
2019-09-30,2.16,$-0.18,0.0
2019-06-30,2.13,$-0.27,0.0
2019-03-31,1.46,$-0.38,0.0
2018-12-31,1.4,$-0.39,0.0
2018-09-30,1.42,$-0.44,0.0
2018-06-30,2.02,$-0.40,0.0
2018-03-31,1.81,$-0.28,0.0
2017-12-31,1.14,$-0.27,0.0
2017-09-30,2.65,$-0.23,0.0
2017-06-30,1.05,$-0.19,0.0
2017-03-31,1.01,$-0.14,0.0
2016-12-31,0.91,$-0.08,0.0
2016-09-30,1.22,$0.01,122.0
2016-06-30,1.26,$0.09,14.0
2016-03-31,1.87,$0.11,17.0
2015-12-31,1.45,$0.17,8.53
2015-09-30,1.58,$0.15,10.53
2015-06-30,1.8,$0.11,16.36
2015-03-31,2.83,$0.11,25.73
2014-12-31,3.92,$0.06,65.33
2014-09-30,3.49,$0.08,43.63
2014-06-30,5.51,$0.33,16.7
2014-03-31,7.69,$0.32,24.03
2013-12-31,8.35,$0.43,19.41
2013-09-30,9.62,$0.50,19.23
2013-06-30,9.54,$0.56,17.04
2013-03-31,6.94,$0.62,11.2
2012-12-31,6.83,$0.57,11.99
2012-09-30,6.75,$0.54,12.5
2012-06-30,5.48,$0.41,13.37
2012-03-31,5.01,$0.33,15.19
2011-12-31,4.13,$0.26,15.89
2011-09-30,3.7,$0.18,20.54
2011-06-30,4.48,$0.21,21.34
2011-03-31,4.43,$0.20,22.13
2010-12-31,5.0,$0.26,19.23
2010-09-30,4.49,$0.22,20.39
2010-06-30,4.48,$0.11,40.69
2010-03-31,6.14,$0.13,47.21
2009-12-31,4.01,$0.14,28.66
