Clene PE Ratio Historical Data,Clene PE Ratio Historical Data,Clene PE Ratio Historical Data,Clene PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.27,,0.0
2024-09-30,4.59,$-5.28,0.0
2024-06-30,0.36,$-4.46,0.0
2024-03-31,0.43,$-9.20,0.0
2023-12-31,0.3,$-10.40,0.0
2023-09-30,0.5,$-9.20,0.0
2023-06-30,0.88,$-12.20,0.0
2023-03-31,1.13,$-7.80,0.0
2022-12-31,1.0,$-9.00,0.0
2022-09-30,2.8,$-7.60,0.0
2022-06-30,2.52,$4.20,0.6
2022-03-31,3.94,$4.60,0.86
2021-12-31,4.1,$-4.40,0.0
2021-09-30,6.83,$-5.80,0.0
2021-06-30,11.24,$-18.80,0.0
2021-03-31,12.78,$-18.60,0.0
2020-12-31,9.01,$-7.00,0.0
2020-09-30,10.85,$-8.80,0.0
2020-06-30,10.79,$-5.20,0.0
2020-03-31,10.5,$-5.00,0.0
2019-12-31,10.48,$-4.40,0.0
2019-09-30,10.29,$-4.40,0.0
2019-06-30,10.2,$-4.40,0.0
