SandRidge Energy PE Ratio Historical Data,SandRidge Energy PE Ratio Historical Data,SandRidge Energy PE Ratio Historical Data,SandRidge Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.68,,6.87
2024-12-31,11.71,$1.70,6.89
2024-09-30,12.11,$1.28,9.46
2024-06-30,12.7,$1.09,11.65
2024-03-31,14.19,$1.30,10.92
2023-12-31,11.73,$1.64,7.15
2023-09-30,13.34,$4.42,3.02
2023-06-30,12.91,$5.37,2.4
2023-03-31,10.8,$6.22,1.74
2022-12-31,12.77,$6.52,1.96
2022-09-30,12.23,$4.68,2.61
2022-06-30,11.75,$4.00,2.94
2022-03-31,12.01,$3.14,3.83
2021-12-31,7.84,$3.14,2.5
2021-09-30,9.75,$2.14,4.56
2021-06-30,4.71,$0.01,0.0
2021-03-31,2.93,$-6.49,0.0
2020-12-31,2.32,$-7.79,0.0
2020-09-30,1.24,$-14.79,0.0
2020-06-30,0.97,$-18.55,0.0
2020-03-31,0.67,$-12.87,0.0
2019-12-31,3.18,$-12.66,0.0
2019-09-30,3.52,$-4.12,0.0
2019-06-30,5.19,$1.33,3.9
2019-03-31,6.01,$0.74,8.13
2018-12-31,5.71,$-0.29,0.0
2018-09-30,8.15,$-2.36,0.0
2018-06-30,13.3,$-2.94,0.0
2018-03-31,10.88,$-1.28,0.0
2017-12-31,15.8,$1.80,8.78
2017-09-30,15.06,$-15.27,0.0
