Surmodics PE Ratio Historical Data,Surmodics PE Ratio Historical Data,Surmodics PE Ratio Historical Data,Surmodics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.98,,0.0
2024-12-31,39.6,$-1.01,0.0
2024-09-30,38.78,$-0.81,0.0
2024-06-30,42.04,$-0.10,0.0
2024-03-31,29.34,$0.95,30.88
2023-12-31,36.35,$0.38,95.66
2023-09-30,32.09,$-0.12,0.0
2023-06-30,31.31,$-1.65,0.0
2023-03-31,22.78,$-2.58,0.0
2022-12-31,34.12,$-2.32,0.0
2022-09-30,30.4,$-1.96,0.0
2022-06-30,37.23,$-0.92,0.0
2022-03-31,45.33,$-0.75,0.0
2021-12-31,48.15,$0.12,401.25
2021-09-30,55.6,$0.30,185.33
2021-06-30,54.25,$0.10,542.5
2021-03-31,56.07,$0.52,107.83
2020-12-31,43.52,$0.05,870.4
2020-09-30,38.91,$0.08,486.38
2020-06-30,43.24,$0.56,77.21
2020-03-31,33.32,$0.49,68.0
2019-12-31,41.43,$0.47,88.15
2019-09-30,45.74,$0.55,83.16
2019-06-30,43.17,$0.16,269.81
2019-03-31,43.48,$-0.15,0.0
2018-12-31,47.26,$-0.13,0.0
2018-09-30,74.65,$-0.34,0.0
2018-06-30,55.2,$-0.18,0.0
2018-03-31,38.05,$0.07,543.57
2017-12-31,28.0,0,0.0
2017-09-30,31.0,$0.29,106.9
2017-06-30,28.15,$0.46,61.2
2017-03-31,24.05,$0.71,33.87
2016-12-31,25.4,$0.73,34.79
2016-09-30,30.09,$0.75,40.12
2016-06-30,23.48,$0.77,30.49
2016-03-31,18.41,$0.77,23.91
2015-12-31,20.27,$0.94,21.56
2015-09-30,21.84,$1.02,21.41
2015-06-30,23.42,$0.97,24.14
2015-03-31,26.03,$0.93,27.99
2014-12-31,22.1,$0.88,25.11
2014-09-30,18.16,$0.87,20.87
2014-06-30,21.42,$0.96,22.31
2014-03-31,22.6,$0.91,24.84
2013-12-31,24.39,$1.01,24.15
2013-09-30,23.78,$1.04,22.87
2013-06-30,20.01,$0.94,21.29
2013-03-31,27.25,$0.90,30.28
2012-12-31,22.36,$0.72,31.06
2012-09-30,20.22,$0.58,34.86
2012-06-30,17.3,$-0.32,0.0
2012-03-31,15.37,$-0.27,0.0
2011-12-31,14.66,$-0.23,0.0
2011-09-30,9.1,$-0.40,0.0
2011-06-30,11.1,$-0.91,0.0
2011-03-31,12.5,$-1.18,0.0
2010-12-31,11.87,$-1.34,0.0
2010-09-30,11.92,$-1.21,0.0
2010-06-30,16.41,$0.20,82.05
2010-03-31,20.94,$0.45,46.53
2009-12-31,22.66,$0.71,31.92
