KALA BIO PE Ratio Historical Data,KALA BIO PE Ratio Historical Data,KALA BIO PE Ratio Historical Data,KALA BIO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.8,,0.0
2024-09-30,5.7,$-12.47,0.0
2024-06-30,7.09,$-13.95,0.0
2024-03-31,7.97,$-15.15,0.0
2023-12-31,7.0,$-17.94,0.0
2023-09-30,8.9,$-22.73,0.0
2023-06-30,14.59,$-0.07,0.0
2023-03-31,15.05,$-14.71,0.0
2022-12-31,38.15,$-30.22,0.0
2022-09-30,11.07,$-56.25,0.0
2022-06-30,15.0,$-97.00,0.0
2022-03-31,69.0,$-106.50,0.0
2021-12-31,60.5,$-108.50,0.0
2021-09-30,131.0,$-102.00,0.0
2021-06-30,265.0,$-105.50,0.0
2021-03-31,337.0,$-98.00,0.0
2020-12-31,339.0,$-100.50,0.0
2020-09-30,375.0,$-104.50,0.0
2020-06-30,525.5,$-113.50,0.0
2020-03-31,439.5,$-127.50,0.0
2019-12-31,184.5,$-138.00,0.0
2019-09-30,190.25,$-144.50,0.0
2019-06-30,319.0,$-142.00,0.0
2019-03-31,413.5,$-137.00,0.0
2018-12-31,244.5,$-122.50,0.0
2018-09-30,493.5,$-107.50,0.0
2018-06-30,686.5,$-104.00,0.0
