Equinix PE Ratio Historical Data,Equinix PE Ratio Historical Data,Equinix PE Ratio Historical Data,Equinix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,851.72,,99.62
2024-12-31,942.89,$8.55,110.28
2024-09-30,883.45,$11.09,79.66
2024-06-30,749.14,$10.92,68.6
2024-03-31,812.82,$9.97,81.53
2023-12-31,789.33,$10.31,76.56
2023-09-30,707.94,$9.30,76.12
2023-06-30,760.72,$8.67,87.74
2023-03-31,696.28,$8.83,78.85
2022-12-31,629.47,$7.68,81.96
2022-09-30,544.07,$7.65,71.12
2022-06-30,625.69,$7.03,89.0
2022-03-31,702.89,$5.42,129.68
2021-12-31,798.23,$5.54,144.08
2021-09-30,742.97,$4.75,156.42
2021-06-30,752.09,$3.81,197.4
2021-03-31,634.28,$4.57,138.79
2020-12-31,663.67,$4.21,157.64
2020-09-30,703.88,$5.10,138.02
2020-06-30,648.14,$5.77,112.33
2020-03-31,574.05,$5.94,96.64
2019-12-31,534.24,$6.00,89.04
2019-09-30,525.64,$5.90,89.09
2019-06-30,457.5,$6.04,75.75
2019-03-31,409.04,$5.20,78.66
2018-12-31,316.41,$4.55,69.54
2018-09-30,386.2,$4.01,96.31
2018-06-30,381.51,$3.48,109.63
2018-03-31,368.89,$3.21,114.92
2017-12-31,397.54,$2.99,132.96
2017-09-30,389.85,$3.03,128.66
2017-06-30,373.22,$2.73,136.71
2017-03-31,346.59,$2.79,124.23
2016-12-31,307.74,$1.76,174.85
2016-09-30,308.55,$1.08,285.7
2016-06-30,330.51,$1.07,308.89
2016-03-31,280.48,$1.46,192.11
2015-12-31,254.97,$2.10,121.42
2015-09-30,220.34,$-4.50,0.0
2015-06-30,203.36,$-4.42,0.0
2015-03-31,185.25,$-5.23,0.0
2014-12-31,179.08,$-4.60,0.0
2014-09-30,167.82,$2.70,62.16
2014-06-30,165.93,$2.63,63.09
2014-03-31,145.99,$1.83,79.78
2013-12-31,140.15,$1.73,81.01
2013-09-30,145.05,$1.73,83.84
2013-06-30,145.9,$1.59,91.76
2013-03-31,170.85,$2.90,58.91
2012-12-31,162.86,$2.90,56.16
2012-09-30,162.74,$2.37,68.67
2012-06-30,138.73,$1.99,69.71
2012-03-31,124.36,$1.90,65.45
2011-12-31,80.09,$1.72,46.56
2011-09-30,70.16,$1.66,42.27
2011-06-30,79.79,$1.70,46.93
2011-03-31,71.95,$1.01,71.24
2010-12-31,64.18,$0.83,77.33
2010-09-30,80.84,$0.98,82.49
2010-06-30,64.15,$1.21,53.02
2010-03-31,76.88,$1.70,45.22
2009-12-31,83.84,$1.75,47.91
