UCloudlink Group PE Ratio Historical Data,UCloudlink Group PE Ratio Historical Data,UCloudlink Group PE Ratio Historical Data,UCloudlink Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.25,,11.36
2024-09-30,1.37,$0.11,12.45
2024-06-30,1.86,$0.11,16.91
2024-03-31,1.57,$0.03,52.33
2023-12-31,1.75,$0.08,21.88
2023-09-30,2.12,$0.10,21.2
2023-06-30,2.54,$-0.14,0.0
2023-03-31,3.98,$-0.34,0.0
2022-12-31,3.34,$-0.67,0.0
2022-09-30,0.56,$-1.18,0.0
2022-06-30,1.13,$-1.28,0.0
2022-03-31,1.76,$-1.35,0.0
2021-12-31,6.59,$-1.62,0.0
2021-09-30,4.35,$-1.52,0.0
2021-06-30,10.0,$-1.61,0.0
2021-03-31,10.55,$-3.05,0.0
