UMB Financial PE Ratio Historical Data,UMB Financial PE Ratio Historical Data,UMB Financial PE Ratio Historical Data,UMB Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,102.67,,11.42
2024-12-31,112.86,$8.99,12.55
2024-09-30,104.77,$8.00,13.1
2024-06-30,82.83,$7.75,10.69
2024-03-31,85.96,$7.53,11.42
2023-12-31,82.18,$7.18,11.45
2023-09-30,60.72,$7.79,7.79
2023-06-30,59.23,$7.62,7.77
2023-03-31,55.81,$8.60,6.49
2022-12-31,80.38,$8.87,9.06
2022-09-30,80.74,$8.42,9.59
2022-06-30,82.14,$8.55,9.61
2022-03-31,92.3,$7.51,12.29
2021-12-31,100.42,$7.25,13.85
2021-09-30,91.21,$8.88,10.27
2021-06-30,87.4,$8.46,10.33
2021-03-31,86.42,$7.93,10.9
2020-12-31,64.35,$5.95,10.82
2020-09-30,45.51,$4.06,11.21
2020-06-30,47.58,$3.81,12.49
2020-03-31,42.6,$3.71,11.48
2019-12-31,62.63,$4.96,12.63
2019-09-30,58.66,$4.13,14.2
2019-06-30,59.5,$4.02,14.8
2019-03-31,57.61,$3.97,14.51
2018-12-31,54.6,$3.93,13.89
2018-09-30,63.2,$5.66,11.17
2018-06-30,67.69,$5.47,12.37
2018-03-31,64.05,$5.22,12.27
2017-12-31,63.39,$4.97,12.75
2017-09-30,65.41,$3.59,18.22
2017-06-30,65.47,$3.47,18.87
2017-03-31,65.63,$3.37,19.48
2016-12-31,66.99,$3.22,20.8
2016-09-30,51.47,$2.95,17.45
2016-06-30,45.88,$2.56,17.92
2016-03-31,44.33,$2.45,18.09
2015-12-31,39.77,$2.45,16.23
2015-09-30,43.19,$2.44,17.7
2015-06-30,48.25,$2.76,17.48
2015-03-31,44.56,$2.87,15.53
2014-12-31,47.72,$2.65,18.01
2014-09-30,45.56,$2.83,16.1
2014-06-30,52.74,$2.88,18.31
2014-03-31,53.63,$2.87,18.69
2013-12-31,53.09,$3.22,16.49
2013-09-30,44.72,$2.97,15.06
2013-06-30,45.65,$2.78,16.42
2013-03-31,40.07,$2.75,14.57
2012-12-31,35.62,$3.03,11.75
2012-09-30,39.37,$3.09,12.74
2012-06-30,41.26,$3.09,13.35
2012-03-31,35.87,$3.02,11.88
2011-12-31,29.72,$2.63,11.3
2011-09-30,25.45,$2.52,10.1
2011-06-30,33.05,$2.45,13.49
2011-03-31,29.35,$2.37,12.38
2010-12-31,32.39,$2.26,14.33
2010-09-30,27.62,$2.38,11.61
2010-06-30,27.51,$2.40,11.46
2010-03-31,31.25,$2.30,13.59
2009-12-31,30.15,$2.20,13.7
