Shinhan Financial Group Co PE Ratio Historical Data,Shinhan Financial Group Co PE Ratio Historical Data,Shinhan Financial Group Co PE Ratio Historical Data,Shinhan Financial Group Co PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,32.49,,5.1
2024-09-30,42.37,$6.37,6.65
2024-06-30,34.49,$6.29,5.48
2024-03-31,34.78,$6.07,5.73
2023-12-31,29.52,$6.18,4.78
2023-09-30,25.41,$5.84,4.35
2023-06-30,24.63,$6.34,3.88
2023-03-31,25.07,$6.53,3.84
2022-12-31,25.62,$6.65,3.85
2022-09-30,20.62,$6.92,2.98
2022-06-30,25.3,$6.36,3.98
2022-03-31,29.31,$6.48,4.52
2021-12-31,26.85,$6.31,4.26
2021-09-30,28.21,$6.32,4.46
2021-06-30,29.84,$6.61,4.51
2021-03-31,27.72,$5.99,4.63
2020-12-31,24.6,$5.52,4.46
2020-09-30,18.17,$5.73,3.17
2020-06-30,19.03,$5.43,3.5
2020-03-31,18.43,$5.82,3.17
2019-12-31,30.11,$6.06,4.97
2019-09-30,26.6,$8.74,3.04
2019-06-30,29.56,$8.70,3.4
2019-03-31,28.25,$8.71,3.24
2018-12-31,26.98,$8.61,3.13
2018-09-30,29.37,$5.42,5.42
2018-06-30,28.16,$5.36,5.25
2018-03-31,31.03,$5.20,5.97
2017-12-31,33.96,$5.31,6.4
2017-09-30,31.51,$6.02,5.23
2017-06-30,30.93,$5.84,5.3
2017-03-31,29.72,$5.38,5.52
2016-12-31,26.77,$4.91,5.45
2016-09-30,25.09,$4.58,5.48
2016-06-30,22.55,$4.49,5.02
2016-03-31,24.25,$4.54,5.34
2015-12-31,23.13,$4.36,5.31
2015-09-30,23.27,$4.14,5.62
2015-06-30,24.78,$4.07,6.09
2015-03-31,24.94,$3.94,6.33
2014-12-31,27.0,$3.88,6.96
2014-09-30,30.39,$3.95,7.69
2014-06-30,30.66,$3.73,8.22
2014-03-31,29.38,$3.60,8.16
2013-12-31,30.55,$3.48,8.78
2013-09-30,26.8,$2.86,9.37
2013-06-30,21.52,$2.78,7.74
2013-03-31,23.75,$2.89,8.22
2012-12-31,24.24,$3.13,7.76
2012-09-30,21.93,$3.92,5.6
2012-06-30,23.18,$4.26,5.44
2012-03-31,25.18,$4.84,5.21
2011-12-31,22.28,$5.29,4.21
2011-09-30,22.02,$9.24,2.38
2011-06-30,30.88,$7.84,3.94
2011-03-31,29.15,$6.08,4.8
2010-12-31,30.19,$5.66,5.33
2010-09-30,24.4,$0.92,26.52
2010-06-30,23.24,$1.11,20.93
2010-03-31,25.3,$1.18,21.53
2009-12-31,23.64,0,0.0
