CompX PE Ratio Historical Data,CompX PE Ratio Historical Data,CompX PE Ratio Historical Data,CompX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.3,,16.52
2024-12-31,26.15,$1.35,19.37
2024-09-30,28.9,$1.52,19.01
2024-06-30,22.54,$1.71,13.18
2024-03-31,30.94,$1.65,18.75
2023-12-31,22.57,$1.83,12.33
2023-09-30,16.42,$1.68,9.78
2023-06-30,19.04,$1.61,11.82
2023-03-31,15.59,$1.78,8.76
2022-12-31,15.72,$1.69,9.3
2022-09-30,13.64,$1.55,8.8
2022-06-30,18.0,$1.48,12.16
2022-03-31,18.05,$1.35,13.37
2021-12-31,17.06,$1.33,12.82
2021-09-30,15.63,$1.25,12.5
2021-06-30,15.49,$1.07,14.48
2021-03-31,13.3,$0.87,15.29
2020-12-31,10.37,$0.83,12.49
2020-09-30,10.82,$0.92,11.76
2020-06-30,9.93,$1.08,9.19
2020-03-31,10.85,$1.30,8.34
2019-12-31,10.34,$1.28,8.08
2019-09-30,10.11,$1.24,8.15
2019-06-30,11.87,$1.25,9.49
2019-03-31,10.23,$1.26,8.12
2018-12-31,9.47,$1.24,7.64
2018-09-30,9.43,$1.36,6.93
2018-06-30,9.12,$1.24,7.35
2018-03-31,9.5,$1.11,8.56
2017-12-31,9.12,$1.06,8.61
2017-09-30,10.42,$0.95,10.97
2017-06-30,10.36,$0.99,10.46
2017-03-31,10.42,$0.92,11.32
2016-12-31,10.89,$0.85,12.81
2016-09-30,7.8,$0.75,10.4
2016-06-30,7.71,$0.69,11.18
2016-03-31,7.01,$0.72,9.74
2015-12-31,7.58,$0.73,10.38
2015-09-30,7.27,$0.74,9.83
2015-06-30,7.77,$0.74,10.49
2015-03-31,7.45,$0.72,10.35
2014-12-31,7.89,$0.70,11.27
2014-09-30,6.7,$0.67,9.99
2014-06-30,6.76,$0.65,10.4
2014-03-31,6.59,$0.59,11.16
2013-12-31,9.03,$0.49,18.43
2013-09-30,8.29,$2.70,3.07
2013-06-30,8.89,$2.75,3.23
2013-03-31,8.03,$2.77,2.9
2012-12-31,8.98,$2.82,3.18
2012-09-30,9.45,$0.58,16.29
2012-06-30,7.76,$0.46,16.88
2012-03-31,8.48,$0.42,20.19
2011-12-31,8.9,$0.62,14.36
2011-09-30,7.61,$0.59,12.9
2011-06-30,7.83,$0.63,12.42
2011-03-31,9.27,$0.64,14.48
2010-12-31,6.7,$0.24,27.92
2010-09-30,7.63,$0.16,47.67
2010-06-30,5.62,$0.07,80.24
2010-03-31,5.08,$-0.20,0.0
2009-12-31,4.21,$-0.17,0.0
