Installed Building Products PE Ratio Historical Data,Installed Building Products PE Ratio Historical Data,Installed Building Products PE Ratio Historical Data,Installed Building Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,174.89,,19.22
2024-12-31,175.25,$9.10,19.26
2024-09-30,245.84,$9.00,27.32
2024-06-30,205.0,$8.96,22.88
2024-03-31,257.45,$8.84,29.12
2023-12-31,180.45,$8.61,20.96
2023-09-30,123.05,$8.74,14.08
2023-06-30,137.75,$8.47,16.26
2023-03-31,111.76,$8.36,13.37
2022-12-31,82.95,$7.76,10.69
2022-09-30,78.21,$6.33,12.36
2022-06-30,80.01,$5.38,14.87
2022-03-31,80.99,$4.57,17.72
2021-12-31,132.27,$4.01,32.98
2021-09-30,101.21,$3.96,25.56
2021-06-30,115.29,$3.73,30.91
2021-03-31,104.2,$3.33,31.29
2020-12-31,95.54,$3.28,29.13
2020-09-30,95.37,$2.98,32.0
2020-06-30,64.47,$2.74,23.53
2020-03-31,37.37,$2.51,14.89
2019-12-31,64.55,$2.28,28.31
2019-09-30,53.74,$2.18,24.65
2019-06-30,55.51,$1.97,28.18
2019-03-31,45.46,$1.86,24.44
2018-12-31,31.58,$1.76,17.94
2018-09-30,36.55,$1.56,23.43
2018-06-30,53.0,$1.44,36.81
2018-03-31,56.28,$1.30,43.3
2017-12-31,71.19,$1.30,54.76
2017-09-30,60.74,$1.31,46.36
2017-06-30,49.63,$1.30,38.18
2017-03-31,49.44,$1.24,39.87
2016-12-31,38.71,$1.23,31.47
2016-09-30,33.62,$1.18,28.49
2016-06-30,34.01,$1.11,30.64
2016-03-31,24.94,$1.00,24.94
2015-12-31,23.27,$0.85,27.38
2015-09-30,23.69,$0.71,33.37
2015-06-30,22.94,$0.60,38.24
2015-03-31,20.4,$0.46,44.34
2014-12-31,16.7,$-0.34,0.0
