LendingTree PE Ratio Historical Data,LendingTree PE Ratio Historical Data,LendingTree PE Ratio Historical Data,LendingTree PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,51.39,,0.0
2024-12-31,38.75,$-3.13,0.0
2024-09-30,58.03,$-2.70,0.0
2024-06-30,41.59,$-9.79,0.0
2024-03-31,42.34,$-10.38,0.0
2023-12-31,30.32,$-9.42,0.0
2023-09-30,15.5,$-11.21,0.0
2023-06-30,22.11,$-12.22,0.0
2023-03-31,26.66,$-12.84,0.0
2022-12-31,21.33,$-14.72,0.0
2022-09-30,23.86,$-10.38,0.0
2022-06-30,43.82,$1.72,25.48
2022-03-31,119.67,$2.83,42.29
2021-12-31,122.6,$5.02,24.42
2021-09-30,139.83,$0.86,162.59
2021-06-30,211.88,$-0.69,0.0
2021-03-31,213.0,$-3.46,0.0
2020-12-31,273.79,$-3.79,0.0
2020-09-30,306.89,$-3.03,0.0
2020-06-30,289.53,$-0.85,0.0
2020-03-31,183.39,$2.26,81.15
2019-12-31,303.44,$1.20,252.87
2019-09-30,310.43,$0.83,374.01
2019-06-30,420.03,$2.40,175.01
2019-03-31,351.56,$4.59,76.59
2018-12-31,219.57,$6.75,32.53
2018-09-30,230.1,$6.35,36.24
2018-06-30,213.8,$5.15,41.51
2018-03-31,328.15,$2.68,122.44
2017-12-31,340.45,$1.07,318.18
2017-09-30,244.45,$2.28,107.21
2017-06-30,172.2,$2.14,80.47
2017-03-31,125.35,$2.22,56.46
2016-12-31,101.35,$2.15,47.14
2016-09-30,96.91,$4.05,23.93
2016-06-30,88.33,$4.02,21.97
2016-03-31,97.78,$3.78,25.87
2015-12-31,89.28,$3.77,23.68
2015-09-30,93.03,$2.60,35.78
2015-06-30,78.61,$2.14,36.73
2015-03-31,56.01,$1.74,32.19
2014-12-31,48.34,$0.73,66.22
2014-09-30,35.89,$-0.57,0.0
2014-06-30,29.14,$-0.62,0.0
2014-03-31,31.04,$0.04,776.0
2013-12-31,32.84,$0.37,88.76
2013-09-30,26.26,$0.54,48.63
2013-06-30,17.14,$0.93,18.43
2013-03-31,18.49,$2.71,6.82
2012-12-31,18.03,$4.11,4.39
2012-09-30,14.76,$3.84,3.84
2012-06-30,10.77,$4.60,2.34
2012-03-31,7.19,$0.56,12.83
2011-12-31,5.26,$-4.22,0.0
2011-09-30,4.71,$-5.25,0.0
2011-06-30,4.82,$-6.22,0.0
2011-03-31,5.55,$-4.67,0.0
2010-12-31,8.9,$-1.60,0.0
2010-09-30,6.16,$-2.39,0.0
2010-06-30,5.95,$-3.23,0.0
2010-03-31,8.62,$-3.09,0.0
2009-12-31,8.62,$-2.21,0.0
