Solo Brands PE Ratio Historical Data,Solo Brands PE Ratio Historical Data,Solo Brands PE Ratio Historical Data,Solo Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.21,,0.0
2024-12-31,1.14,$-1.30,0.0
2024-09-30,1.41,$-3.44,0.0
2024-06-30,2.28,$-2.18,0.0
2024-03-31,2.17,$-2.01,0.0
2023-12-31,6.16,$-1.94,0.0
2023-09-30,5.1,$0.38,13.42
2023-06-30,5.66,$0.28,20.21
2023-03-31,7.18,$-0.03,0.0
2022-12-31,3.72,$-0.07,0.0
2022-09-30,3.8,$-0.08,0.0
