TCTM Kids IT Education PE Ratio Historical Data,TCTM Kids IT Education PE Ratio Historical Data,TCTM Kids IT Education PE Ratio Historical Data,TCTM Kids IT Education PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.38,,0.0
2024-06-30,1.21,$-0.84,0.0
2023-06-30,2.43,$-0.50,0.0
2023-03-31,3.29,$0.05,65.8
2022-12-31,4.67,$0.80,5.84
2022-09-30,6.15,$0.54,11.39
2022-06-30,5.99,$-1.05,0.0
2022-03-31,2.47,$-2.79,0.0
2021-12-31,1.84,$-4.51,0.0
2021-09-30,6.9,$-4.85,0.0
2021-06-30,13.95,$-5.80,0.0
2021-03-31,15.7,$-5.85,0.0
2020-09-30,8.8,$-6.50,0.0
2018-12-31,31.5,$-8.15,0.0
2018-09-30,40.6,$-5.00,0.0
2018-06-30,37.85,$-2.65,0.0
2018-03-31,55.52,$0.10,555.23
2017-12-31,74.18,$2.30,32.25
2017-09-30,72.0,$2.60,27.69
2017-06-30,88.63,$2.95,30.04
2017-03-31,91.65,$3.05,30.05
2016-12-31,73.54,$3.00,24.51
2016-09-30,71.04,$3.00,23.68
2016-06-30,50.68,$2.65,19.12
2016-03-31,52.31,$2.35,22.26
2015-12-31,50.52,$2.45,20.62
2015-09-30,45.87,$1.85,24.8
2015-06-30,61.26,$1.55,39.52
2015-03-31,47.08,$1.80,26.16
