Gladstone Capital PE Ratio Historical Data,Gladstone Capital PE Ratio Historical Data,Gladstone Capital PE Ratio Historical Data,Gladstone Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.45,,6.71
2024-12-31,28.44,$4.09,6.95
2024-09-30,23.39,$3.80,6.15
2024-06-30,22.16,$3.00,7.39
2024-03-31,19.98,$2.76,7.24
2023-12-31,19.46,$2.88,6.76
2023-09-30,17.1,$2.28,7.5
2023-06-30,16.86,$1.92,8.78
2023-03-31,15.84,$0.96,16.5
2022-12-31,15.85,$0.78,20.32
2022-09-30,13.69,$1.16,11.8
2022-06-30,15.95,$2.82,5.66
2022-03-31,18.29,$4.20,4.36
2021-12-31,17.68,$5.02,3.52
2021-09-30,16.95,$5.08,3.34
2021-06-30,16.86,$3.78,4.46
2021-03-31,14.37,$3.68,3.91
2020-12-31,12.58,$0.60,20.97
2020-09-30,10.28,$-0.12,0.0
2020-06-30,9.88,$-0.42,0.0
2020-03-31,7.37,$-0.78,0.0
2019-12-31,12.7,$1.66,7.65
2019-09-30,12.21,$1.36,8.98
2019-06-30,11.49,$0.30,38.3
2019-03-31,10.79,$0.60,17.99
2018-12-31,8.54,$0.64,13.35
2018-09-30,10.85,$1.44,7.53
2018-06-30,10.06,$2.56,3.93
2018-03-31,9.39,$2.14,4.39
2017-12-31,9.82,$1.80,5.46
2017-09-30,9.91,$1.34,7.4
2017-06-30,10.04,$2.70,3.72
2017-03-31,9.48,$2.70,3.51
2016-12-31,9.18,$1.92,4.78
2016-09-30,7.75,$1.08,7.18
2016-06-30,6.73,$-1.14,0.0
2016-03-31,6.73,$-1.30,0.0
2015-12-31,6.38,$0.02,318.75
2015-09-30,6.91,$0.82,8.43
2015-06-30,6.55,$3.46,1.89
2015-03-31,7.13,$1.22,5.84
2014-12-31,6.52,$0.12,54.33
2014-09-30,6.75,$1.08,6.25
2014-06-30,7.58,$1.56,4.86
2014-03-31,7.43,$3.28,2.27
2013-12-31,6.91,$3.22,2.15
2013-09-30,6.16,$3.02,2.04
2013-06-30,5.62,$0.86,6.54
2013-03-31,6.18,$0.06,103.02
2012-12-31,5.36,$0.16,33.48
2012-09-30,5.6,$-0.76,0.0
2012-06-30,4.93,$-1.34,0.0
2012-03-31,4.94,$-1.70,0.0
2011-12-31,4.53,$-1.12,0.0
2011-09-30,3.96,$-0.80,0.0
2011-06-30,5.21,$-0.38,0.0
2011-03-31,6.25,$0.82,7.62
2010-12-31,6.25,$0.82,7.62
2010-09-30,6.0,$1.04,5.77
2010-06-30,5.65,$1.08,5.23
2010-03-31,6.06,$1.76,3.44
2009-12-31,3.86,$1.86,2.07
