Takeda Pharmaceutical PE Ratio Historical Data,Takeda Pharmaceutical PE Ratio Historical Data,Takeda Pharmaceutical PE Ratio Historical Data,Takeda Pharmaceutical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.16,,38.87
2024-12-31,13.24,$0.39,33.95
2024-06-30,12.65,$0.53,23.87
2024-03-31,13.58,$0.55,24.69
2023-12-31,13.67,$0.66,20.71
2023-09-30,14.82,$0.72,20.58
2023-06-30,14.75,$0.72,20.48
2023-03-31,15.47,$0.77,20.09
2022-12-31,14.37,$0.66,21.77
2022-09-30,11.95,$0.54,22.13
2022-06-30,12.61,$0.53,23.8
2022-03-31,12.86,$0.85,15.13
2021-12-31,11.97,$1.47,8.14
2021-09-30,14.39,$1.58,9.11
2021-06-30,14.43,$1.46,9.88
2021-03-31,15.66,$1.13,13.86
2020-12-31,15.27,$0.55,27.76
2020-09-30,14.96,$0.30,49.88
2020-06-30,14.69,$0.45,32.65
2020-03-31,12.44,$0.14,88.84
2019-12-31,15.74,$0.34,46.31
