Natural Gas Services PE Ratio Historical Data,Natural Gas Services PE Ratio Historical Data,Natural Gas Services PE Ratio Historical Data,Natural Gas Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.54,,18.73
2024-12-31,26.8,$1.15,23.3
2024-09-30,19.11,$1.28,14.93
2024-06-30,20.12,$1.06,18.98
2024-03-31,19.43,$0.76,25.57
2023-12-31,16.08,$0.38,42.32
2023-09-30,14.56,$0.19,76.63
2023-06-30,9.9,$0.00,0.0
2023-03-31,10.31,$-0.05,0.0
2022-12-31,11.46,$-0.05,0.0
2022-09-30,10.04,$-0.42,0.0
2022-06-30,11.0,$-0.51,0.0
2022-03-31,11.91,$-0.64,0.0
2021-12-31,10.47,$-0.70,0.0
2021-09-30,10.38,$-0.41,0.0
2021-06-30,10.28,$-0.35,0.0
2021-03-31,9.44,$-0.20,0.0
2020-12-31,9.48,$0.13,72.92
2020-09-30,8.45,$0.14,60.36
2020-06-30,6.27,$-0.75,0.0
2020-03-31,4.46,$-0.72,0.0
2019-12-31,12.26,$-0.99,0.0
2019-09-30,12.81,$-0.88,0.0
2019-06-30,16.5,$0.07,235.71
2019-03-31,17.31,$0.05,346.2
2018-12-31,16.44,$0.04,411.0
2018-09-30,21.1,$1.48,14.26
2018-06-30,23.6,$1.50,15.73
2018-03-31,23.85,$1.51,15.79
2017-12-31,26.2,$1.51,17.35
2017-09-30,28.4,$0.18,157.78
2017-06-30,24.85,$0.26,95.58
2017-03-31,26.05,$0.33,78.94
2016-12-31,32.15,$0.51,63.04
2016-09-30,24.59,$0.68,36.16
2016-06-30,22.9,$0.76,30.13
2016-03-31,21.63,$0.71,30.46
2015-12-31,22.3,$0.80,27.88
2015-09-30,19.3,$0.85,22.71
2015-06-30,22.82,$0.95,24.02
2015-03-31,19.22,$1.17,16.43
2014-12-31,23.04,$1.11,20.76
2014-09-30,24.07,$1.05,22.92
2014-06-30,33.06,$1.02,32.41
2014-03-31,30.14,$1.06,28.43
2013-12-31,27.57,$1.15,23.97
2013-09-30,26.82,$1.19,22.54
2013-06-30,23.49,$1.13,20.79
2013-03-31,19.26,$1.06,18.17
2012-12-31,16.42,$1.03,15.94
2012-09-30,14.95,$0.99,15.1
2012-06-30,14.82,$0.96,15.44
2012-03-31,13.2,$0.88,15.0
2011-12-31,14.46,$0.79,18.3
2011-09-30,12.83,$0.70,18.33
2011-06-30,16.16,$0.70,23.09
2011-03-31,17.76,$0.67,26.51
2010-12-31,18.91,$0.58,32.6
2010-09-30,14.77,$0.56,26.38
2010-06-30,15.13,$0.60,25.22
2010-03-31,15.87,$0.71,22.35
2009-12-31,18.85,$0.91,20.71
