Highway Holdings PE Ratio Historical Data,Highway Holdings PE Ratio Historical Data,Highway Holdings PE Ratio Historical Data,Highway Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.88,,0.0
2024-12-31,1.95,$-0.17,0.0
2024-09-30,1.81,$-0.12,0.0
2024-06-30,2.0,$-0.12,0.0
2024-03-31,1.98,$-0.22,0.0
2023-12-31,1.89,$-0.24,0.0
2023-09-30,1.82,$-0.30,0.0
2023-06-30,2.32,$-0.25,0.0
2023-03-31,1.81,$-0.08,0.0
2022-12-31,1.86,$0.11,16.92
2022-09-30,1.84,$0.16,11.5
2022-06-30,1.84,$0.12,15.3
2022-03-31,2.29,$0.11,20.83
2021-12-31,3.28,$0.06,54.61
2021-09-30,2.93,$0.02,146.37
2021-06-30,3.07,$0.02,153.53
2021-03-31,2.89,$-0.12,0.0
2020-12-31,3.16,$0.16,19.73
2020-09-30,2.11,$0.22,9.59
2020-06-30,1.63,$0.14,11.66
2020-03-31,1.49,$0.17,8.78
2019-12-31,1.15,$-0.02,0.0
2019-09-30,1.22,$-0.18,0.0
2019-06-30,1.98,$-0.22,0.0
2019-03-31,2.35,$-0.17,0.0
2018-12-31,1.81,$0.08,22.62
2018-09-30,3.04,$0.26,11.69
2018-06-30,3.06,$0.38,8.06
2018-03-31,3.25,$0.42,7.73
2017-12-31,2.73,$0.28,9.75
2017-09-30,2.18,$0.25,8.71
2017-06-30,2.12,$0.16,13.27
2017-03-31,2.4,$0.14,17.14
2016-12-31,1.97,$0.14,14.04
2016-09-30,2.62,$0.16,16.37
2016-06-30,2.55,$0.29,8.8
2016-03-31,2.63,$0.33,7.98
2015-12-31,2.71,$0.31,8.75
2015-09-30,2.83,$0.32,8.85
2015-06-30,1.88,$0.32,5.89
2015-03-31,1.67,$0.31,5.38
2014-12-31,1.43,$0.31,4.63
2014-09-30,1.51,$0.25,6.02
2014-06-30,1.31,$0.19,6.9
2014-03-31,1.31,$0.16,8.16
2013-12-31,1.43,$0.19,7.5
2013-09-30,0.99,$0.16,6.19
2013-06-30,0.83,$0.13,6.38
2013-03-31,0.81,$0.12,6.72
2012-12-31,0.86,$0.07,12.23
2012-09-30,0.85,$0.08,10.64
2012-06-30,0.71,$-0.02,0.0
2012-03-31,1.04,$0.05,20.76
2011-12-31,0.9,$0.24,3.77
2011-09-30,1.12,$0.33,3.39
2011-06-30,1.37,$0.53,2.59
2011-03-31,1.32,$0.44,3.01
2010-12-31,1.43,$0.27,5.31
2010-09-30,0.76,$0.23,3.3
2010-06-30,0.75,$0.16,4.7
2010-03-31,0.95,$0.11,8.61
2009-12-31,0.76,$0.14,5.42
