SCYNEXIS PE Ratio Historical Data,SCYNEXIS PE Ratio Historical Data,SCYNEXIS PE Ratio Historical Data,SCYNEXIS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.04,,0.0
2024-12-31,1.21,$-0.35,0.0
2024-09-30,1.49,$-0.74,0.0
2024-06-30,2.0,$-0.72,0.0
2024-03-31,1.47,$2.04,0.72
2023-12-31,2.23,$1.32,1.69
2023-09-30,2.28,$1.42,1.61
2023-06-30,2.95,$0.84,3.51
2023-03-31,3.0,$-1.93,0.0
2022-12-31,1.56,$-1.40,0.0
2022-09-30,2.4,$-2.16,0.0
2022-06-30,1.86,$-1.60,0.0
2022-03-31,3.91,$-1.51,0.0
2021-12-31,6.1,$-1.56,0.0
2021-09-30,5.3,$-4.43,0.0
2021-06-30,7.36,$-4.65,0.0
2021-03-31,7.94,$-5.07,0.0
2020-12-31,7.65,$-5.54,0.0
2020-09-30,4.41,$-3.72,0.0
2020-06-30,7.51,$-4.94,0.0
2020-03-31,7.81,$-5.90,0.0
2019-12-31,9.1,$-9.80,0.0
2019-09-30,10.65,$-7.30,0.0
2019-06-30,13.1,$-5.70,0.0
2019-03-31,15.1,$-6.40,0.0
2018-12-31,4.82,$-3.00,0.0
2018-09-30,12.0,$-6.10,0.0
2018-06-30,16.4,$-9.30,0.0
2018-03-31,13.4,$-8.60,0.0
2017-12-31,23.2,$-9.90,0.0
2017-09-30,24.1,$-7.20,0.0
2017-06-30,17.9,$-8.90,0.0
2017-03-31,27.6,$-12.90,0.0
2016-12-31,31.9,$-15.60,0.0
2016-09-30,38.7,$-15.60,0.0
2016-06-30,21.7,$-16.80,0.0
2016-03-31,40.3,$-19.00,0.0
2015-12-31,62.1,$-21.30,0.0
2015-09-30,72.8,$-22.30,0.0
2015-06-30,87.9,$-20.80,0.0
2015-03-31,83.0,$-22.80,0.0
