Terreno Realty PE Ratio Historical Data,Terreno Realty PE Ratio Historical Data,Terreno Realty PE Ratio Historical Data,Terreno Realty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,65.22,,33.97
2024-12-31,59.14,$1.92,30.8
2024-09-30,66.31,$1.82,36.43
2024-06-30,58.29,$1.81,32.2
2024-03-31,64.91,$1.92,33.81
2023-12-31,60.84,$1.81,33.61
2023-09-30,54.75,$1.91,28.66
2023-06-30,57.47,$1.84,31.23
2023-03-31,61.36,$2.64,23.24
2022-12-31,53.68,$2.61,20.57
2022-09-30,49.67,$2.27,21.88
2022-06-30,51.84,$2.28,22.74
2022-03-31,68.47,$1.25,54.78
2021-12-31,78.49,$1.23,63.81
2021-09-30,57.94,$0.98,59.12
2021-06-30,58.81,$1.01,58.22
2021-03-31,52.38,$1.21,43.29
2020-12-31,52.79,$1.16,45.51
2020-09-30,48.9,$1.19,41.09
2020-06-30,47.0,$1.08,43.52
2020-03-31,45.97,$0.79,58.19
2019-12-31,47.83,$0.85,56.26
2019-09-30,44.67,$1.01,44.23
2019-06-30,42.67,$0.96,44.45
2019-03-31,36.58,$1.15,31.81
2018-12-31,30.43,$1.08,28.18
2018-09-30,32.2,$0.90,35.77
2018-06-30,31.98,$1.09,29.34
2018-03-31,29.3,$1.03,28.45
2017-12-31,29.58,$0.95,31.13
2017-09-30,30.15,$0.77,39.16
2017-06-30,27.89,$0.46,60.62
2017-03-31,23.2,$0.21,110.46
2016-12-31,23.43,$0.26,90.12
2016-09-30,22.29,$0.23,96.9
2016-06-30,20.81,$0.26,80.05
2016-03-31,18.87,$0.45,41.92
2015-12-31,18.05,$0.26,69.44
2015-09-30,15.43,$0.32,48.21
2015-06-30,15.35,$0.32,47.97
2015-03-31,17.64,$0.15,117.63
2014-12-31,15.96,$0.23,69.41
2014-09-30,14.36,$0.29,49.51
2014-06-30,14.63,$0.23,63.62
2014-03-31,14.21,$0.17,83.61
2013-12-31,13.3,$0.12,110.87
2013-09-30,13.15,$0.21,62.64
2013-06-30,13.63,$0.18,75.72
2013-03-31,13.14,$0.20,65.69
2012-12-31,11.28,$0.19,59.38
2012-09-30,11.37,$-0.03,0.0
2012-06-30,10.79,$-0.05,0.0
2012-03-31,10.15,$-0.28,0.0
2011-12-31,10.66,$-0.40,0.0
2011-09-30,8.96,$-0.38,0.0
2011-06-30,11.82,$-0.35,0.0
2011-03-31,11.9,$-0.14,0.0
2010-12-31,12.38,0,0.0
