Barrett Business Services PE Ratio Historical Data,Barrett Business Services PE Ratio Historical Data,Barrett Business Services PE Ratio Historical Data,Barrett Business Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.98,,20.64
2024-12-31,43.44,$1.99,21.88
2024-09-30,37.44,$1.90,19.76
2024-06-30,32.63,$1.83,17.88
2024-03-31,31.47,$1.82,17.27
2023-12-31,28.69,$1.86,15.44
2023-09-30,22.29,$1.73,12.91
2023-06-30,21.48,$1.67,12.86
2023-03-31,21.75,$1.67,13.0
2022-12-31,22.81,$1.65,13.8
2022-09-30,19.01,$1.59,11.94
2022-06-30,17.7,$1.47,12.04
2022-03-31,18.74,$1.41,13.29
2021-12-31,16.64,$1.25,13.31
2021-09-30,18.3,$1.13,16.16
2021-06-30,17.36,$1.24,13.97
2021-03-31,16.39,$1.06,15.47
2020-12-31,16.17,$1.10,14.73
2020-09-30,12.38,$1.24,9.96
2020-06-30,12.48,$1.45,8.59
2020-03-31,9.25,$1.53,6.05
2019-12-31,20.97,$1.56,13.42
2019-09-30,20.52,$1.74,11.81
2019-06-30,19.02,$1.55,12.25
2019-03-31,17.75,$1.47,12.12
2018-12-31,13.1,$1.23,10.65
2018-09-30,15.23,$1.02,14.89
2018-06-30,21.95,$0.89,24.73
2018-03-31,18.78,$0.89,21.1
2017-12-31,14.57,$0.82,17.88
2017-09-30,12.72,$0.74,17.19
2017-06-30,12.83,$0.60,21.56
2017-03-31,12.18,$0.52,23.54
2016-12-31,14.24,$0.63,22.69
2016-09-30,10.97,$0.75,14.73
2016-06-30,9.1,$0.79,11.48
2016-03-31,6.28,$0.80,7.85
2015-12-31,9.45,$0.88,10.8
2015-09-30,9.27,$0.73,12.7
2015-06-30,7.79,$-0.98,0.0
2015-03-31,9.14,$-1.03,0.0
2014-12-31,5.81,$-0.96,0.0
2014-09-30,8.3,$-1.01,0.0
2014-06-30,9.85,$0.61,16.21
2014-03-31,12.43,$0.56,22.1
2013-12-31,19.3,$0.60,32.3
2013-09-30,13.98,$0.61,22.82
2013-06-30,10.82,$0.51,21.11
2013-03-31,10.89,$0.45,24.47
2012-12-31,7.85,$0.48,16.36
2012-09-30,5.57,$0.28,20.05
2012-06-30,4.32,$0.21,20.58
2012-03-31,4.03,$0.16,24.81
2011-12-31,4.03,$0.35,11.44
2011-09-30,2.8,$0.43,6.47
2011-06-30,2.86,$0.39,7.37
2011-03-31,3.19,$0.36,8.91
2010-12-31,3.07,$0.18,16.79
2010-09-30,2.98,$0.16,18.89
2010-06-30,2.41,$0.14,17.56
2010-03-31,2.63,$-0.08,0.0
2009-12-31,2.36,$-0.12,0.0
