Kronos Bio PE Ratio Historical Data,Kronos Bio PE Ratio Historical Data,Kronos Bio PE Ratio Historical Data,Kronos Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.88,,0.0
2024-12-31,0.95,$-1.00,0.0
2024-09-30,1.0,$-1.43,0.0
2024-06-30,1.24,$-1.74,0.0
2024-03-31,1.3,$-1.99,0.0
2023-12-31,1.25,$-1.95,0.0
2023-09-30,1.3,$-2.08,0.0
2023-06-30,1.72,$-2.11,0.0
2023-03-31,1.46,$-2.18,0.0
2022-12-31,1.62,$-2.37,0.0
2022-09-30,3.35,$-2.94,0.0
2022-06-30,3.64,$-2.98,0.0
2022-03-31,7.23,$-2.92,0.0
2021-12-31,13.59,$-2.75,0.0
2021-09-30,20.96,$-2.32,0.0
