Quantum Biopharma PE Ratio Historical Data,Quantum Biopharma PE Ratio Historical Data,Quantum Biopharma PE Ratio Historical Data,Quantum Biopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.75,,0.0
2024-09-30,4.0,$-15.41,0.0
2024-06-30,10.53,$-12.99,0.0
2024-03-31,46.51,$-16.88,0.0
2023-12-31,59.79,$-30.52,0.0
2023-09-30,78.69,$-38.31,0.0
2023-06-30,74.75,$-48.70,0.0
2023-03-31,100.75,$-47.40,0.0
2022-12-31,51.25,$-40.26,0.0
2022-09-30,53.63,$-29.87,0.0
2022-06-30,51.35,$-27.27,0.0
2022-03-31,56.28,$-42.86,0.0
2021-12-31,66.3,$-57.14,0.0
2021-09-30,102.7,$-72.73,0.0
2021-06-30,113.1,$-132.47,0.0
2021-03-31,124.15,$-140.26,0.0
2020-12-31,101.4,$-190.26,0.0
