Forge Global Holdings PE Ratio Historical Data,Forge Global Holdings PE Ratio Historical Data,Forge Global Holdings PE Ratio Historical Data,Forge Global Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.61,,0.0
2024-12-31,0.93,$-0.36,0.0
2024-09-30,1.31,$-0.43,0.0
2024-06-30,1.46,$-0.44,0.0
2024-03-31,1.93,$-0.50,0.0
2023-12-31,3.43,$-0.52,0.0
2023-09-30,2.03,$-0.52,0.0
2023-06-30,2.43,$-0.53,0.0
2023-03-31,1.75,$-0.59,0.0
2022-12-31,1.73,$-1.45,0.0
2022-09-30,1.75,$-1.30,0.0
2022-06-30,10.41,$-1.18,0.0
2022-03-31,33.88,$-0.98,0.0
2021-12-31,9.84,0,0.0
