Edwards Lifesciences PE Ratio Historical Data,Edwards Lifesciences PE Ratio Historical Data,Edwards Lifesciences PE Ratio Historical Data,Edwards Lifesciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,70.95,,10.18
2024-12-31,74.03,$6.97,10.62
2024-09-30,65.99,$6.93,9.52
2024-06-30,92.37,$2.43,38.01
2024-03-31,95.56,$2.32,41.19
2023-12-31,76.25,$2.30,33.15
2023-09-30,69.28,$2.34,29.61
2023-06-30,94.33,$2.26,41.74
2023-03-31,82.73,$2.41,34.33
2022-12-31,74.61,$2.44,30.58
2022-09-30,82.63,$2.32,35.62
2022-06-30,95.09,$2.31,41.16
2022-03-31,117.72,$2.44,48.25
2021-12-31,129.55,$2.39,54.21
2021-09-30,113.21,$2.35,48.17
2021-06-30,103.57,$2.33,44.45
2021-03-31,83.64,$1.35,61.96
2020-12-31,91.23,$1.30,70.18
2020-09-30,79.82,$1.25,63.86
2020-06-30,69.11,$1.16,59.41
2020-03-31,62.87,$1.74,36.07
2019-12-31,77.76,$1.65,47.23
2019-09-30,73.3,$1.22,60.25
2019-06-30,61.58,$1.14,54.18
2019-03-31,63.78,$1.20,53.3
2018-12-31,51.06,$1.12,45.45
2018-09-30,58.03,$1.17,49.6
2018-06-30,48.52,$1.08,44.93
2018-03-31,46.51,$0.93,50.19
2017-12-31,37.57,$0.96,39.14
2017-09-30,36.44,$1.15,31.78
2017-06-30,39.41,$1.10,35.83
2017-03-31,31.36,$1.01,31.15
2016-12-31,31.23,$0.87,35.76
2016-09-30,40.19,$0.84,47.65
2016-06-30,33.24,$0.80,41.3
2016-03-31,29.4,$0.78,37.62
2015-12-31,26.33,$0.75,35.18
2015-09-30,23.7,$0.70,33.77
2015-06-30,23.74,$0.67,35.52
2015-03-31,23.74,$1.35,17.63
2014-12-31,21.23,$1.25,16.94
2014-09-30,17.03,$1.20,14.19
2014-06-30,14.31,$1.17,12.25
2014-03-31,12.36,$0.46,27.07
2013-12-31,10.96,$0.57,19.23
2013-09-30,11.61,$0.59,19.84
2013-06-30,11.2,$0.57,19.7
2013-03-31,13.69,$0.53,26.0
2012-12-31,15.03,$0.41,36.5
2012-09-30,17.9,$0.37,48.14
2012-06-30,17.22,$0.35,49.66
2012-03-31,12.12,$0.33,36.54
2011-12-31,11.78,$0.33,35.89
2011-09-30,11.88,$0.33,36.0
2011-06-30,14.53,$0.33,44.71
2011-03-31,14.5,$0.33,44.62
2010-12-31,13.47,$0.30,44.41
2010-09-30,11.18,$0.28,39.9
2010-06-30,9.34,$0.32,29.4
2010-03-31,8.24,$0.31,27.01
2009-12-31,7.24,$0.32,22.32
