Light & Wonder PE Ratio Historical Data,Light & Wonder PE Ratio Historical Data,Light & Wonder PE Ratio Historical Data,Light & Wonder PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,104.33,,28.27
2024-12-31,86.38,$3.69,23.41
2024-09-30,90.73,$3.22,28.18
2024-06-30,104.88,$3.32,31.59
2024-03-31,102.09,$2.41,42.36
2023-12-31,82.11,$1.76,46.65
2023-09-30,71.33,$1.35,52.84
2023-06-30,68.76,$3.96,17.36
2023-03-31,60.05,$38.58,1.56
