Xunlei PE Ratio Historical Data,Xunlei PE Ratio Historical Data,Xunlei PE Ratio Historical Data,Xunlei PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.07,,22.04
2024-09-30,1.85,$0.23,8.04
2024-06-30,1.68,$0.23,7.3
2024-03-31,1.49,$0.27,5.52
2023-12-31,1.62,$0.23,7.04
2023-09-30,1.62,$0.19,8.53
2023-06-30,1.98,$0.24,8.25
2023-03-31,1.84,$0.25,7.36
2022-12-31,1.82,$0.31,5.87
2022-09-30,1.39,$0.28,4.96
2022-06-30,1.58,$0.08,19.75
2022-03-31,1.76,$-0.01,0.0
2021-12-31,2.01,$0.01,201.0
2021-09-30,2.86,$0.09,31.78
2021-06-30,4.56,$0.15,30.4
2021-03-31,6.54,$-0.02,0.0
2020-12-31,2.89,$-0.20,0.0
2020-09-30,3.44,$-0.54,0.0
2020-06-30,3.48,$-0.88,0.0
2020-03-31,3.3,$-0.74,0.0
2019-12-31,4.9,$-0.79,0.0
2019-09-30,2.29,$-1.00,0.0
2019-06-30,2.62,$-0.88,0.0
2019-03-31,3.66,$-0.84,0.0
2018-12-31,3.4,$-0.59,0.0
2018-09-30,7.26,$-0.05,0.0
2018-06-30,10.7,$-0.19,0.0
2018-03-31,10.09,$-0.35,0.0
2017-12-31,15.39,$-0.57,0.0
2017-09-30,4.25,$-0.74,0.0
2017-06-30,3.24,$-0.47,0.0
2017-03-31,4.05,$-0.38,0.0
2016-12-31,3.86,$-0.36,0.0
2016-09-30,5.39,$-0.31,0.0
2016-06-30,5.24,$-0.25,0.0
2016-03-31,6.11,$-0.21,0.0
2015-12-31,7.56,$-0.19,0.0
2015-09-30,7.3,$-0.12,0.0
2015-06-30,12.04,$-0.06,0.0
2015-03-31,6.37,$-4.24,0.0
