Omnicom Group PE Ratio Historical Data,Omnicom Group PE Ratio Historical Data,Omnicom Group PE Ratio Historical Data,Omnicom Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,80.69,,10.83
2024-12-31,86.04,$7.45,11.55
2024-09-30,103.39,$7.32,14.12
2024-06-30,89.09,$7.23,12.32
2024-03-31,95.36,$7.40,12.89
2023-12-31,84.61,$6.92,12.23
2023-09-30,72.26,$6.88,10.5
2023-06-30,91.46,$6.79,13.47
2023-03-31,90.01,$6.65,13.54
2022-12-31,77.22,$6.37,12.12
2022-09-30,59.19,$6.23,9.5
2022-06-30,59.05,$6.11,9.66
2022-03-31,78.01,$6.03,12.94
2021-12-31,66.73,$6.53,10.22
2021-09-30,65.34,$6.42,10.18
2021-06-30,71.43,$6.22,11.48
2021-03-31,65.66,$4.51,14.56
2020-12-31,54.73,$4.37,12.52
2020-09-30,42.98,$4.42,9.72
2020-06-30,46.82,$4.29,10.91
2020-03-31,46.52,$6.08,7.65
2019-12-31,67.92,$6.06,11.21
2019-09-30,65.11,$5.94,10.96
2019-06-30,67.58,$5.94,11.38
2019-03-31,59.71,$5.86,10.19
2018-12-31,59.39,$5.83,10.19
2018-09-30,54.71,$5.15,10.62
2018-06-30,60.82,$4.96,12.26
2018-03-31,57.48,$4.76,12.08
2017-12-31,57.14,$4.64,12.32
2017-09-30,57.65,$5.02,11.48
2017-06-30,64.04,$4.95,12.94
2017-03-31,66.15,$4.91,13.47
2016-12-31,64.88,$4.79,13.55
2016-09-30,64.4,$4.67,13.79
2016-06-30,61.34,$4.58,13.39
2016-03-31,62.24,$4.48,13.89
2015-12-31,56.22,$4.41,12.75
2015-09-30,48.64,$4.36,11.16
2015-06-30,50.92,$4.34,11.73
2015-03-31,56.75,$4.32,13.14
2014-12-31,56.02,$4.26,13.15
2014-09-30,49.47,$4.09,12.1
2014-06-30,50.81,$3.88,13.09
2014-03-31,51.43,$3.73,13.79
2013-12-31,52.4,$3.72,14.09
2013-09-30,44.45,$3.72,11.95
2013-06-30,43.78,$3.72,11.77
2013-03-31,40.75,$3.65,11.17
2012-12-31,34.33,$3.61,9.51
2012-09-30,35.21,$3.44,10.24
2012-06-30,33.01,$3.42,9.65
2012-03-31,34.18,$3.36,10.17
2011-12-31,29.9,$3.33,8.98
2011-09-30,24.56,$3.20,7.68
2011-06-30,31.9,$3.05,10.46
2011-03-31,32.31,$2.88,11.22
2010-12-31,30.01,$2.71,11.08
2010-09-30,25.76,$2.61,9.87
2010-06-30,22.27,$2.57,8.66
2010-03-31,25.06,$2.54,9.87
2009-12-31,25.15,$2.56,9.82
