Hut 8 PE Ratio Historical Data,Hut 8 PE Ratio Historical Data,Hut 8 PE Ratio Historical Data,Hut 8 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.92,,6.76
2024-12-31,20.49,$1.91,10.73
2024-09-30,12.26,$1.91,6.42
2024-06-30,14.99,$1.00,14.99
2024-03-31,11.04,$1.48,7.46
2023-12-31,13.34,$0.55,24.25
2023-09-30,1.95,$-2.75,0.0
2023-06-30,3.3,$-2.30,0.0
2023-03-31,1.85,$-3.95,0.0
2022-12-31,0.85,$-4.50,0.0
2022-09-30,1.78,$-3.85,0.0
2022-06-30,1.33,$-2.80,0.0
2022-03-31,5.52,$-1.50,0.0
