TPG RE Finance Trust PE Ratio Historical Data,TPG RE Finance Trust PE Ratio Historical Data,TPG RE Finance Trust PE Ratio Historical Data,TPG RE Finance Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.5,,11.33
2024-12-31,8.5,$0.75,11.33
2024-09-30,8.53,$0.69,12.36
2024-06-30,8.4,$-0.37,0.0
2024-03-31,7.3,$-1.57,0.0
2023-12-31,5.96,$-1.69,0.0
2023-09-30,5.96,$-1.30,0.0
2023-06-30,6.33,$-1.99,0.0
2023-03-31,6.0,$-1.16,0.0
2022-12-31,5.42,$-0.96,0.0
2022-09-30,5.39,$-0.87,0.0
2022-06-30,6.73,$0.97,6.93
2022-03-31,8.6,$0.81,10.62
2021-12-31,8.79,$0.86,10.22
2021-09-30,8.62,$0.44,19.59
2021-06-30,9.19,$0.51,18.02
2021-03-31,7.54,$1.30,5.8
2020-12-31,7.03,$-2.05,0.0
2020-09-30,5.4,$-1.70,0.0
2020-06-30,5.36,$-1.65,0.0
2020-03-31,3.19,$-1.74,0.0
2019-12-31,10.94,$1.73,6.32
2019-09-30,10.49,$1.72,6.1
2019-06-30,9.98,$1.70,5.87
2019-03-31,9.92,$1.71,5.8
2018-12-31,9.05,$1.71,5.29
2018-09-30,9.69,$1.69,5.73
2018-06-30,9.62,$1.62,5.94
