La-Z-Boy PE Ratio Historical Data,La-Z-Boy PE Ratio Historical Data,La-Z-Boy PE Ratio Historical Data,La-Z-Boy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.08,,13.43
2025-01-31,47.2,$2.91,16.22
2024-10-31,37.86,$2.89,13.1
2024-07-31,43.71,$2.81,15.55
2024-04-30,32.52,$2.83,11.49
2024-01-31,34.28,$2.71,12.65
2023-10-31,28.64,$2.79,10.26
2023-07-31,30.54,$3.23,9.46
2023-04-30,27.78,$3.49,7.96
2023-01-31,27.33,$4.03,6.78
2022-10-31,23.63,$3.94,6.0
2022-07-31,26.42,$3.76,7.03
2022-04-30,24.75,$3.41,7.26
2022-01-31,34.38,$2.89,11.9
2021-10-31,30.98,$2.86,10.83
2021-07-31,31.16,$2.72,11.46
2021-04-30,41.11,$2.28,18.03
2021-01-31,35.67,$1.52,23.47
2020-10-31,31.42,$1.64,19.16
2020-07-31,26.07,$1.37,19.03
2020-04-30,21.48,$1.65,13.02
2020-01-31,27.92,$1.63,17.13
2019-10-31,32.22,$1.50,21.48
2019-07-31,29.81,$1.44,20.7
2019-04-30,29.51,$1.45,20.35
2019-01-31,26.55,$2.14,12.41
2018-10-31,24.8,$1.78,13.93
2018-07-31,27.11,$1.83,14.81
2018-04-30,25.5,$1.68,15.18
2018-01-31,26.59,$1.53,17.38
2017-10-31,23.68,$1.75,13.53
2017-07-31,29.56,$1.70,17.39
2017-04-30,24.3,$1.74,13.97
2017-01-31,24.81,$1.62,15.32
2016-10-31,20.23,$1.58,12.8
2016-07-31,26.03,$1.57,16.58
2016-04-30,22.19,$1.56,14.23
2016-01-31,18.32,$1.50,12.21
2015-10-31,24.3,$1.41,17.24
2015-07-31,21.56,$1.37,15.74
2015-04-30,22.18,$1.35,16.43
2015-01-31,22.51,$1.19,18.92
2014-10-31,19.22,$1.16,16.57
2014-07-31,17.65,$1.10,16.04
2014-04-30,20.27,$1.03,19.68
2014-01-31,22.47,$1.13,19.88
2013-10-31,19.23,$1.14,16.86
2013-07-31,17.24,$0.95,18.14
2013-04-30,14.98,$0.85,17.63
2013-01-31,12.95,$0.89,14.55
2012-10-31,13.39,$0.85,15.75
2012-07-31,9.87,$0.88,11.22
2012-04-30,12.44,$1.65,7.54
2012-01-31,10.88,$1.47,7.4
2011-10-31,8.39,$1.38,6.08
2011-07-31,7.24,$1.30,5.57
2011-04-30,9.71,$0.45,21.57
2011-01-31,6.87,$0.52,13.21
2010-10-31,6.41,$0.54,11.88
2010-07-31,7.07,$0.58,12.18
2010-04-30,10.77,$0.62,17.36
2010-01-31,8.38,$0.46,18.22
2009-10-31,5.86,$-1.00,0.0
